sequence,frames,valid_frames,auc,precision,success50,fps,total_time_sec
airplane-1,2788,2788,80.51513288242124,90.96126255380202,99.89239598278336,30.85654822860349,90.35359299895936
airplane-9,7971,7971,87.39836669832906,99.93727261322294,99.8996361811567,32.34688663907335,246.42247919994406
airplane-13,2971,2971,81.51816768444165,99.89902389767755,99.9326825984517,32.656391185606076,90.97759709926322
airplane-15,4500,4495,78.24355103554214,98.86540600667408,97.37486095661848,32.77922653805376,137.2820677991258
basketball-1,1088,1088,82.19975490196079,99.90808823529412,98.34558823529412,33.052018530430985,32.91780800008564
basketball-6,1794,1794,81.5867707172055,96.98996655518395,95.42920847268674,32.81325374797435,54.67302980006207
basketball-7,2101,2101,89.92089934498311,98.286530223703,98.23893384102809,32.55012521353968,64.54660270019667
basketball-11,1851,1851,73.3142960047336,84.11669367909238,82.00972447325769,32.741390572268294,56.53394579910673
bear-2,6800,6800,91.96498599439778,85.6764705882353,100.0,18.65672644035759,364.4798042002949
bear-4,1974,1974,76.90693298596035,64.79229989868288,91.13475177304964,29.03723623216361,67.98167650037794
bear-6,1671,1671,86.48371377276224,97.00777977259126,98.38420107719928,31.297106617324197,53.39151699969079
bear-17,2413,2413,91.85167643518245,99.95855781185247,100.0,32.00889196170354,75.38530239931424
bicycle-2,2181,2181,82.46108163577213,94.54378725355342,94.26868408986704,32.655120713297755,66.78891250008019
bicycle-7,2461,2461,85.45887269983164,77.89516456724908,98.7403494514425,26.850673916771633,91.6550552000408
bicycle-9,3001,3001,66.32868408943051,77.94068643785404,77.87404198600466,31.906033764367606,94.05744449977647
bicycle-18,1355,1355,81.42329994728519,92.47232472324724,93.35793357933579,30.804242505450613,43.98744750046171
bird-2,4101,4101,31.166614414602712,31.699585466959277,31.699585466959277,32.858850043151016,124.80655879966798
bird-3,2311,2311,84.53977869815171,89.48507139766335,98.7018606663782,30.11751426618739,76.7327601997531
bird-15,1575,1575,75.47996976568406,84.06349206349206,84.19047619047619,32.598004991765904,48.3158401993569
bird-17,5000,5000,89.84857142857142,85.3,98.96000000000001,23.50962744510296,212.67882750058197
microphone-2,4017,3627,65.17652001522968,92.28012131237938,85.19437551695617,32.95414942511976,121.89663729988388
microphone-6,1767,1624,58.80541871921182,71.98275862068965,67.54926108374384,32.463036974264504,54.43113660009112
microphone-14,2242,2242,47.88878977103777,99.73238180196253,45.004460303300625,33.11689546558243,67.69958259916166
microphone-16,2178,1568,84.36892614188531,96.1734693877551,98.02295918367348,32.47749289261862,67.06182669952977
monkey-3,1261,1243,36.70459334176147,39.018503620273535,38.37489943684634,32.08639724290371,39.300142999971285
monkey-4,1435,1272,64.76489967056004,70.9119496855346,72.72012578616352,31.426046082266016,45.66275999989011
monkey-9,4079,3525,65.74805808848363,69.95744680851064,75.82978723404256,32.104214925274704,127.0549680001277
monkey-17,2260,2260,75.87020648967551,64.64601769911505,82.7433628318584,28.617677270550352,78.9721673996828
shark-2,3455,3441,47.94979311108343,53.50188898575995,53.850624818366754,31.590341642675664,109.36887100114836
shark-3,1000,992,75.24001536098311,88.70967741935483,93.44758064516128,31.020292889497853,32.23696189982002
shark-5,1510,1510,75.57237464522234,89.86754966887418,92.8476821192053,31.969510622156744,47.23250280076172
shark-6,1238,1238,80.81775521193939,91.437802907916,96.36510500807755,30.310963727306977,40.843307099625235
squirrel-8,1041,1041,60.27629111202598,29.106628242074926,64.45725264169067,24.02447583115815,43.33081010033493
squirrel-11,1449,1444,73.63474475662841,66.41274238227147,89.12742382271468,28.88362942404311,50.16682559961919
squirrel-13,2000,1927,52.111597103812976,46.28956927867151,51.16761805915932,31.548608465884318,63.39423820111551
squirrel-19,1205,1205,86.87611144042681,98.42323651452281,99.00414937759336,31.411442268234754,38.361816999997245
volleyball-1,1309,1293,78.47015062792325,99.22660479505026,98.91724671307038,33.15546024170173,39.48067649966106
volleyball-13,2042,2004,61.03744891170042,70.60878243512974,70.55888223552894,32.95064079402767,61.97148069940158
volleyball-18,2606,2376,27.934102934102928,30.345117845117848,29.124579124579125,32.93912040092794,79.11565239995252
volleyball-19,1467,1197,27.000039781994673,29.82456140350877,29.65747702589808,33.097459150353444,44.32364410016453
