sequence,frames,fps,total_time_sec
Basketball,725,32.55396818310819,22.270710468292236
Biker,142,32.71774434944476,4.3401525020599365
Bird1,408,33.071334377363456,12.336968183517456
BlurBody,334,33.59972039917948,9.940558910369873
BlurCar2,585,32.735168217570674,17.870688676834106
BlurFace,493,33.854586627700066,14.562280893325806
BlurOwl,631,34.32543368058977,18.38287043571472
Bolt,350,29.89334394610294,11.708292007446289
Box,1161,30.214586459572512,38.42514944076538
Car1,1020,34.71377516417799,29.383148193359375
Car4,659,34.69226806025163,18.99558711051941
CarDark,393,34.25147905682138,11.473957061767578
CarScale,252,33.624745078040974,7.494480609893799
ClifBar,472,34.23084628666896,13.788733005523682
Couple,140,33.64737373709013,4.160800218582153
Crowds,347,34.34345982616269,10.103816032409668
David,471,36.184740920332885,13.016536474227905
Deer,71,36.33393504425839,1.9540960788726807
Diving,215,34.47147587093218,6.237040758132935
DragonBaby,113,32.60828164261252,3.4653773307800293
Dudek,1145,33.38150611912387,34.300429582595825
Football,362,34.536297801651294,10.481725692749023
Freeman4,283,33.21087058992194,8.521306276321411
Girl,500,34.209554269254994,14.615799903869629
Human3,1698,33.64882643053992,50.46238398551941
Human4-2,667,33.679051965284586,19.804595470428467
Human6,792,33.28402685042817,23.79519772529602
Human9,305,36.420199715940925,8.374473571777344
Ironman,166,35.98863567582141,4.612567186355591
Jump,122,36.731831796155795,3.3213698863983154
Jumping,313,36.10746064783771,8.66856861114502
Liquor,1741,33.305014211070464,52.27441096305847
Matrix,100,33.84334314428669,2.9547908306121826
MotorRolling,164,34.72030775460211,4.72346043586731
Panda,1000,33.9070643845735,29.492379188537598
RedTeam,1918,34.67087629910437,55.32020545005798
Shaking,365,33.34648296677826,10.945682048797607
Singer2,366,33.90756876733795,10.794050216674805
Skating1,400,33.77798619716817,11.842032194137573
Skating2-1,473,33.87659454662016,13.962442398071289
Skating2-2,473,33.088893514067095,14.294826745986938
Skiing,81,34.42648809487619,2.352839469909668
Soccer,392,33.915245219524735,11.558223962783813
Surfer,376,35.61881355475898,10.556219100952148
Sylvester,1345,34.28913356321415,39.22525477409363
Tiger2,365,32.96545261836081,11.072197437286377
Trellis,569,28.5844804371764,19.905906677246094
Walking,412,22.336835196514404,18.44486904144287
Walking2,500,23.151423034256844,21.596944570541382
Woman,597,23.310841420260594,25.610401153564453
Bird2,99,23.05302667922703,4.29444694519043
BlurCar1,742,22.611641390242536,32.81495523452759
BlurCar3,357,24.5686892342467,14.530689716339111
BlurCar4,380,33.16681388993878,11.45723557472229
Board,698,34.393493297312645,20.294536352157593
Bolt2,293,34.538836462702136,8.483204126358032
Boy,602,33.91602095306134,17.74972367286682
Car2,913,34.72593897452805,26.291585683822632
Car24,3059,34.27090191781373,89.25939583778381
Coke,291,34.864863975487985,8.346511840820312
Coupon,327,34.354245050675196,9.518474340438843
Crossing,120,35.6045289062453,3.3703577518463135
Dancer,225,34.73394745622134,6.4778125286102295
Dancer2,150,34.38276319338124,4.362651109695435
David2,537,34.15624234652894,15.721869945526123
David3,252,33.51827801485363,7.5182859897613525
Dog,127,34.370417095294115,3.695038080215454
Dog1,1350,34.96154110965664,38.613858461380005
Doll,3872,34.17609905484345,113.29555177688599
FaceOcc1,892,34.01530552712198,26.22348928451538
FaceOcc2,812,35.085515502724405,23.14345359802246
Fish,476,36.17440099002277,13.15847635269165
FleetFace,707,33.73503726974097,20.957439422607422
Football1,74,33.099981774552816,2.2356507778167725
Freeman1,326,33.994532306119055,9.58977746963501
Freeman3,460,33.17579235457992,13.86553168296814
Girl2,1500,33.801523298610334,44.37669825553894
Gym,767,34.62697505852946,22.15036106109619
Human2,1128,33.985737034597406,33.190393924713135
Human5,713,34.29644073845078,20.789329290390015
Human7,250,35.16675867716703,7.108986139297485
Human8,128,36.717796375143664,3.4860479831695557
Jogging-1,307,34.93890772835686,8.786765813827515
Jogging-2,307,34.71494515332793,8.843453407287598
KiteSurf,84,34.58206948323333,2.429004430770874
Lemming,1336,33.52019002193424,39.85657596588135
Man,134,36.39951359957556,3.681367874145508
Mhyang,1490,34.04574954775005,43.76464080810547
MountainBike,228,33.48270030762517,6.809486627578735
Rubik,1997,32.62140099415369,61.21748113632202
Singer1,351,34.58650595029986,10.14846658706665
Skater,160,34.99413443325203,4.572194814682007
Skater2,435,33.133035241951475,13.128890752792358
Subway,175,33.11248813549535,5.285015106201172
Suv,945,33.801082757312756,27.95768427848816
Tiger1,349,33.147912084891104,10.528566598892212
Toy,271,34.713852115880854,7.806681871414185
Trans,124,34.599941789432755,3.5838210582733154
Twinnings,472,33.98097618777644,13.890124797821045
Vase,271,34.3140441478423,7.897640943527222
