sequence,frames,fps,total_time_sec,txt_path
airplane-1,2788,117.22915011103989,23.78248070005793,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\airplane-1.txt
airplane-9,7971,231.67938848764683,34.405304900159535,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\airplane-9.txt
airplane-13,2971,94.82469658382988,31.331500200198207,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\airplane-13.txt
airplane-15,4500,186.12511471682976,24.177285299978394,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\airplane-15.txt
basketball-1,1088,364.2286125108618,2.987134899973171,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\basketball-1.txt
basketball-6,1794,72.72817727776645,24.667193200075417,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\basketball-6.txt
basketball-7,2101,128.4166852880982,16.36080229984509,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\basketball-7.txt
basketball-11,1851,111.11544460629435,16.658350300072925,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\basketball-11.txt
bear-2,6800,13.650555901247811,498.14821090021724,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bear-2.txt
bear-4,1974,36.57680417267472,53.968629699877056,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bear-4.txt
bear-6,1671,52.89335515731229,31.591870000120252,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bear-6.txt
bear-17,2413,78.32685603479206,30.80680270031735,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bear-17.txt
bicycle-2,2181,163.5763278291097,13.333225100141135,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bicycle-2.txt
bicycle-7,2461,31.099022876339014,79.13431910017971,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bicycle-7.txt
bicycle-9,3001,72.78483295976707,41.23111750024691,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bicycle-9.txt
bicycle-18,1355,72.47564700611451,18.695935199939413,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bicycle-18.txt
bird-2,4101,116.51942482019379,35.19584830021631,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bird-2.txt
bird-3,2311,76.86906900145813,30.064108099919395,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bird-3.txt
bird-15,1575,149.48182055661735,10.536398300042492,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bird-15.txt
bird-17,5000,57.56740173017669,86.854710300031,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\bird-17.txt
microphone-2,4017,166.49959300948558,24.12618509987078,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\microphone-2.txt
microphone-6,1767,109.64088088154986,16.116251399958855,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\microphone-6.txt
microphone-14,2242,62.32999005192257,35.96984370015707,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\microphone-14.txt
microphone-16,2178,92.09007247890702,23.650757800183783,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\microphone-16.txt
monkey-3,1261,84.98908665326664,14.837199099980353,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\monkey-3.txt
monkey-4,1435,86.45503486335171,16.598223599910852,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\monkey-4.txt
monkey-9,4079,213.09874242636997,19.141361199770472,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\monkey-9.txt
monkey-17,2260,55.541552748829574,40.69025600022724,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\monkey-17.txt
shark-2,3455,87.34694394778226,39.55490419980197,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\shark-2.txt
shark-3,1000,149.5385666031107,6.687238099948445,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\shark-3.txt
shark-5,1510,102.90777854719006,14.67333199994755,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\shark-5.txt
shark-6,1238,277.51288024418784,4.46105420011736,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\shark-6.txt
squirrel-8,1041,35.8095391128614,29.070466300028784,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\squirrel-8.txt
squirrel-11,1449,68.22404762152611,21.23884540006111,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\squirrel-11.txt
squirrel-13,2000,138.97397570477045,14.391183600077056,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\lasot\lasot936\CSRT\tracking_results\CSRT\squirrel-13.txt
