sequence_src,sequence_otb,frames,fps,txt_path,classic_mat_path,unified_mat_path
Basketball,Basketball,725,88.520869,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\Basketball.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\Basketball_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\Basketball_CSRT.mat
Biker,Biker,142,118.722218,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\Biker.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\Biker_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\Biker_CSRT.mat
Bird1,Bird1,408,250.605122,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\Bird1.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\Bird1_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\Bird1_CSRT.mat
Bird2,Bird2,99,71.178926,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\Bird2.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\Bird2_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\Bird2_CSRT.mat
BlurBody,BlurBody,334,50.872980,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\BlurBody.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\BlurBody_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\BlurBody_CSRT.mat
BlurCar1,BlurCar1,742,64.957859,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\BlurCar1.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\BlurCar1_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\BlurCar1_CSRT.mat
BlurCar2,BlurCar2,585,61.797080,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\BlurCar2.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\BlurCar2_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\BlurCar2_CSRT.mat
BlurCar3,BlurCar3,357,71.455304,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\BlurCar3.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\BlurCar3_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\BlurCar3_CSRT.mat
BlurCar4,BlurCar4,380,58.231176,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\BlurCar4.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\BlurCar4_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\BlurCar4_CSRT.mat
BlurFace,BlurFace,493,60.590515,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\txt_results\CSRT\BlurFace.txt,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\classic_otb\results\OPE\CSRT\BlurFace_01.mat,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\OtherTracker\CSRT\otb_matlab_export\CSRT_run_20260326\unified_otb\results\OPE_OTB\BlurFace_CSRT.mat
