sequence,frames,fps,total_time_sec
Basketball,725,73.74535926809946,9.83112710000205
Biker,142,92.56016997695903,1.5341372000002593
Bird1,408,185.4536266161183,2.200010900000052
BlurBody,334,45.750825634608795,7.300414699999237
BlurCar2,585,54.101450373879324,10.813018799999554
BlurFace,493,54.05390588810224,9.120524999998452
BlurOwl,631,60.77376970966377,10.38276880000194
Bolt,350,78.27019995638794,4.47168910000255
Box,1161,58.13357515297468,19.971247200002836
Car1,1020,95.11841389261006,10.723475700000563
Car4,659,86.65237573071354,7.60510019999856
CarDark,393,92.08304644273244,4.2678865999987465
CarScale,252,99.70384791965438,2.5274852000002284
ClifBar,472,125.87812325417961,3.7496587000023283
Couple,140,102.1623910610056,1.370367300001817
Crowds,347,102.03967308370973,3.4006380999999237
David,471,73.01832452989953,6.450435599999764
Deer,71,64.06220421997511,1.108297799997672
Diving,215,82.3784174063493,2.6099069000010786
DragonBaby,113,124.83350469390477,0.9052057000008062
Dudek,1145,52.026051429571176,22.008204900001147
Football,362,115.63951623329687,3.1304177999991225
Freeman4,283,123.84193568011209,2.2851709999995364
Girl,500,105.6245919062123,4.733746099998825
Human3,1698,76.95724260585756,22.06420010000147
Human4-2,667,72.369341872992,9.216609999999491
Human6,792,104.66378246584834,7.567087499999616
Human9,305,62.41254059064065,4.886838400001579
Ironman,166,93.30261990964998,1.779156899996451
Jump,122,62.597895797406345,1.9489472999994177
Jumping,313,158.53147784318762,1.974371299998893
Liquor,1741,54.92584731408488,31.69728070000201
Matrix,100,118.54404675910853,0.8435683000025165
MotorRolling,164,57.68398315225854,2.8430768999969587
Panda,1000,104.88809903021169,9.53397010000117
RedTeam,1918,90.28572017654623,21.24366949999967
Shaking,365,72.54025581750382,5.031688899998699
Singer2,366,70.46190667607223,5.194296000001486
Skating1,400,91.5035332144689,4.371415900001011
Skating2-1,473,53.33331288700617,8.868753400001879
Skating2-2,473,47.117596006452644,10.038712500001566
Skiing,81,90.64453298765712,0.893600499999593
Soccer,392,68.72547020097919,5.703853300001356
Surfer,376,122.06096432250733,3.080427900000359
Sylvester,1345,96.4150642566591,13.950102200000401
Tiger2,365,61.723379319511686,5.913480499999423
Trellis,569,74.29984054523491,7.658159099999466
Walking,412,74.50892649490075,5.529538800001319
Walking2,500,74.17826871659805,6.740518599999632
Woman,597,72.04081492279637,8.286969000000681
Bird2,99,68.41923575723132,1.4469614999979967
BlurCar1,742,58.64796027531604,12.651761400000396
BlurCar3,357,62.43136921328818,5.718279200002144
BlurCar4,380,52.549268742335315,7.231309000002511
Board,698,45.55037387785939,15.323694200000318
Bolt2,293,73.81666283939796,3.9692934999984573
Boy,602,88.42711329819687,6.807866700000886
Car2,913,95.58733875864594,9.551474200001394
Car24,3059,119.20892660135759,25.660830000000715
Coke,291,65.06127922906093,4.472706399999879
Coupon,327,90.87239836775466,3.5984523999977682
Crossing,120,126.0084217731394,0.9523172999979579
Dancer,225,85.03985969412275,2.645818099997996
Dancer2,150,78.74656054718207,1.904845099998056
David2,537,181.96711329023995,2.9510827000012796
David3,252,65.649144866482,3.838587700000062
Dog,127,76.19344279233314,1.6668100999995659
Dog1,1350,119.8861039386268,11.260687900001358
Doll,3872,76.30550786970453,50.74338809999972
FaceOcc1,892,49.14160984002856,18.151623499998095
FaceOcc2,812,85.65988626120426,9.479349499997625
Fish,476,83.74961967376603,5.683607900002244
FleetFace,707,58.04008722925905,12.181235999996716
Football1,74,108.77913792538834,0.6802774999996473
Freeman1,326,244.67362040102103,1.3323872000000847
Freeman3,460,182.69928341357007,2.517798600001697
Girl2,1500,70.7449354926882,21.20293120000133
Gym,767,72.84646013882245,10.528994799999055
Human2,1128,47.581122323010725,23.706880900001124
Human5,713,87.48597218264923,8.149878000000172
Human7,250,73.64374367674796,3.394721500000742
Human8,128,74.66258635630813,1.7143794000003254
Jogging-1,307,76.13378645588605,4.032375299997511
Jogging-2,307,71.33189828421284,4.303824900001928
KiteSurf,84,98.7564447397181,0.8505774000004749
Lemming,1336,66.84882604830341,19.985392099999444
Man,134,117.8837059646033,1.1367135000000417
Mhyang,1490,91.92937062752593,16.208095300000423
MountainBike,228,69.34680299686228,3.2878227999972296
Rubik,1997,57.25936181892001,34.87639290000152
Singer1,351,60.11905628494729,5.838415000001987
Skater,160,78.94205021983154,2.0268031999985396
Skater2,435,72.3583910108594,6.01174230000106
Subway,175,112.02527290177589,1.5621474999970815
Suv,945,90.13180445885766,10.484645299999102
Tiger1,349,61.76006487320382,5.650900799999363
Toy,271,140.30489548113923,1.931507799999963
Trans,124,42.824946194219216,2.8955086000023584
Twinnings,472,88.36789441621787,5.341306400001486
Vase,271,89.9989422633268,3.011146500000905
