sequence,frames,fps,total_time_sec
Basketball,725,8.692598979444325,83.28924429990002
BlurBody,334,9.003840576017279,36.984217700053705
Bolt,350,9.460350591746769,36.890810400247574
CarScale,252,9.52253389089881,26.3585304999433
David,471,9.581080192835122,49.05501159999403
Deer,71,9.611039580489171,7.283291200059466
Diving,215,9.409541136678941,22.7428730999236
DragonBaby,113,9.40037839875824,11.91441400005715
Dudek,1145,9.335733928079526,122.53991050014156
FaceOcc1,892,9.585172269120863,92.95607579953503
FleetFace,707,9.454543140461762,74.67309519997798
Human2,1128,8.708455360346296,129.41445450036554
Ironman,166,9.000423396280588,18.33247090000077
Jump,122,8.838798209953563,13.68964390020119
Lemming,1336,8.949130397791658,149.17650549928658
Singer1,351,8.890591389196615,39.36745989983319
Skiing,81,8.8958591899358,8.992948099999921
Soccer,392,8.925874608619559,43.80523109997739
Surfer,376,8.954562130463659,41.87809459987329
Tiger1,349,4.8239640695307235,72.13984079982038
Walking2,500,6.667174761503109,74.84429579996504
Woman,597,9.111696977222204,65.41042810026556
