sequence,len,fps,total_time_sec,status
Basketball,725,11.5415483913993,62.8165282,ok
BlurBody,334,17.3483535101004,19.2525475,ok
Bolt,350,12.6213608758065,27.7307656,ok
CarScale,252,12.4255372560702,20.2808132,ok
David,471,12.3628205616048,38.0981021,ok
Deer,71,13.6213963205117,5.2123878,ok
Diving,215,15.3373093060615,14.0181042,ok
DragonBaby,113,14.3503416206768,7.874377,ok
Dudek,1145,9.82911347115403,116.4906686,ok
FaceOcc1,892,19.6010134602928,45.5078510000001,ok
FleetFace,707,12.0950563169773,58.4536344,ok
Human2,1128,16.7811137134235,67.2184229999999,ok
Ironman,166,13.8633827931785,11.9739895,ok
Jump,122,22.1206533686727,5.5152078,ok
Lemming,1336,13.3953754988752,99.7359126,ok
Singer1,351,27.5944654464619,12.719942,ok
Skiing,81,9.74266014145789,8.3139511,ok
Soccer,392,11.5791681654969,33.8538999,ok
Surfer,376,15.1569061874659,24.8071734,ok
Tiger1,349,10.1528329212607,34.3746423,ok
Walking2,500,12.6412467493318,39.5530607,ok
Woman,597,12.4885059985003,47.8039567,ok
