tracker,source,status,valid_sequences,fps_avg_seq,fps_median_seq,fps_global,fps_weighted_by_frames,total_frames,total_time_sec
CCOT,embedded_otb_mat,ok,100,0.2160152309799335,0.18188656824468757,0.2160152309799335,0.17927613408910245,59035,329296.480538
DeepSRDCF,embedded_otb_mat,ok,100,0.22336051560828213,0.22341043247685732,0.22336051560828213,0.22124415238113368,59035,266831.911102
SRDCFdecon,embedded_otb_mat,ok,100,2.299308559836537,1.7555125534124725,2.299308559836537,1.9496401038443727,59035,30279.947506000004
SRDCF,embedded_otb_mat,ok,100,3.5512002925797237,2.6688601292081557,3.5512002925797237,2.9617907235245196,59035,19932.19829176471
Staple,embedded_otb_mat,ok,100,42.88378790316382,43.01309092606567,42.88378790316382,39.7749509223864,59035,1484.22559
HDT,embedded_otb_mat,ok,100,5.502226776005491,4.642573230634418,5.502226776005491,2.647990243474274,59035,22294.266432999997
CF2,embedded_otb_mat,ok,100,10.422932967927053,10.220594544000374,10.422932967927053,7.246335005764007,59035,8146.877001000001
LCT,embedded_otb_mat,ok,100,20.745973476091084,19.105895652661076,20.745973476091084,15.298290424997376,59035,3858.9279167780032
SAMF,embedded_otb_mat,ok,100,16.95178008469542,13.490229537091004,16.95178008469542,11.476896409284667,59035,5143.81222019582
MEEM,embedded_otb_mat,ok,100,20.795745957146647,20.546550958681188,20.795745957146647,21.77678106995288,59035,2710.914887299629
DSST,embedded_otb_mat,ok,100,21.991691481915336,18.24967321564182,21.991691481915336,10.34164142207974,59035,5708.474853320515
KCF,embedded_otb_mat,ok,100,113.42072935167249,85.81721850741198,113.42072935167249,74.69662556895722,59035,790.3302130495979
MDNet,embedded_otb_mat,missing_embedded_fps,0,nan,nan,nan,nan,0,nan
CNN-SVM,embedded_otb_mat,missing_embedded_fps,0,nan,nan,nan,nan,0,nan
