sequence,len,fps,total_time_sec,status
Basketball,725,11.7717927977028,61.5879002,ok
Biker,142,9.24301509417561,15.3629523,ok
Bird1,408,14.0592221369399,29.0200977,ok
BlurBody,334,18.2669200532766,18.2844179,ok
BlurCar2,585,8.60559616740699,67.9790207,ok
BlurFace,493,12.6630290827063,38.9322331,ok
BlurOwl,631,10.9783656203673,57.4766793,ok
Bolt,350,13.1509163958708,26.6141149,ok
Box,1161,9.81556212143295,118.28156,ok
Car1,1020,10.2759952804651,99.2604582,ok
Car4,659,11.7485139489224,56.0922005,ok
CarDark,393,11.4041574944329,34.4611165,ok
CarScale,252,12.825800657477,19.6478962,ok
ClifBar,472,13.0624917909711,36.133994,ok
Couple,140,10.5362747873108,13.2874287,ok
Crowds,347,14.3287548804637,24.2170379,ok
David,471,12.3114003575152,38.2572239,ok
Deer,71,14.3213317547595,4.9576395,ok
Diving,215,15.8271227090369,13.5842758,ok
DragonBaby,113,14.6597900575358,7.7081595,ok
Dudek,1145,9.95266316085889,115.0445847,ok
Football,362,8.64573038092531,41.8703781,ok
Freeman4,283,13.2844100899272,21.3031665,ok
Girl,500,17.2769767933298,28.9402484,ok
Human3,1698,9.91169967380474,171.3126967,ok
Human4-2,667,14.2317542040602,46.8670264,ok
Human6,792,13.1925742957062,60.0337722,ok
Human9,305,10.7585329399223,28.3495902,ok
Ironman,166,13.9656313888031,11.8863226,ok
Jump,122,22.1505476495954,5.5077645,ok
Jumping,313,11.1358639981555,28.1073835,ok
Liquor,1741,11.0197429055623,157.9891668,ok
Matrix,100,11.8090814930661,8.4680591,ok
MotorRolling,164,11.4474209833041,14.326371,ok
Panda,1000,10.7316631015742,93.1822021,ok
RedTeam,1918,18.4578327706782,103.9125245,ok
Shaking,365,11.7304817622729,31.1155166,ok
Singer2,366,11.5989355067431,31.5546198,ok
Skating1,400,13.6302333924287,29.3465261,ok
Skating2-1,473,24.6123340148487,19.2180067,ok
Skating2-2,473,16.9190422611635,27.9566652,ok
Skiing,81,9.12160467269402,8.8800165,ok
Soccer,392,11.5345434152211,33.9848736,ok
Surfer,376,14.4048785339266,26.102268,ok
Sylvester,1345,8.32057121130897,161.6475559,ok
Tiger2,365,14.8282021159186,24.6152566,ok
Trellis,569,11.3476459549778,50.1425584,ok
Walking,412,9.64937702767049,42.6970569,ok
Walking2,500,12.8592027985576,38.8826592,ok
Woman,597,12.4233739508851,48.0545786,ok
Bird2,99,10.6039212722469,9.3361689,ok
BlurCar1,742,8.19715283827328,90.5192345000001,ok
BlurCar3,357,14.3567313885678,24.8663843,ok
BlurCar4,380,9.80642149769914,38.750119,ok
Board,698,16.4034552106452,42.5520106,ok
Bolt2,293,9.40043119424971,31.168783,ok
Boy,602,10.5782374188673,56.9092918,ok
Car2,913,8.17109196913139,111.7353719,ok
Car24,3059,12.6027416315609,242.7249633,ok
Coke,291,11.3646160336572,25.6057925,ok
Coupon,327,10.0075502529059,32.6753293,ok
Crossing,120,9.41243472358863,12.7490924,ok
Dancer,225,9.30459688398479,24.1815957,ok
Dancer2,150,18.2413741679547,8.2230647,ok
David2,537,11.5033119009638,46.6822081,ok
David3,252,12.9355268037693,19.4812321,ok
Dog,127,9.43156492877185,13.4654218,ok
Dog1,1350,11.8463454546828,113.9591957,ok
Doll,3872,12.0396396728381,321.6043092,ok
FaceOcc1,892,19.7358120828898,45.1970254,ok
FaceOcc2,812,12.9761187670016,62.5764926,ok
Fish,476,11.3610686232603,41.8974672000001,ok
FleetFace,707,11.7923766121478,59.9539875,ok
Football1,74,13.7684500952479,5.3746064,ok
Freeman1,326,17.4905571245164,18.6386287,ok
Freeman3,460,11.9379608362686,38.5325439,ok
Girl2,1500,13.3961786894806,111.9722299,ok
Gym,767,18.355207252163,41.7865072,ok
Human2,1128,16.8754995271285,66.8424658,ok
Human5,713,15.9866923275276,44.5995948,ok
Human7,250,12.5972610591582,19.8455838,ok
Human8,128,10.8321684802989,11.8166552,ok
Jogging-1,307,11.7550312146239,26.1164768,ok
Jogging-2,307,15.4884410294332,19.8212331,ok
KiteSurf,84,14.07175021263,5.9694067,ok
Lemming,1336,13.3139870736971,100.3455984,ok
Man,134,11.1577240297999,12.0096177,ok
Mhyang,1490,10.3678866154337,143.7129914,ok
MountainBike,228,11.1356550281912,20.4747722,ok
Rubik,1997,9.70726824111929,205.7221404,ok
Singer1,351,25.5398190008307,13.7432454,ok
Skater,160,13.3528123046499,11.9824945,ok
Skater2,435,17.1668759532475,25.3394969,ok
Subway,175,10.8757422336729,16.0908558,ok
Suv,945,11.3700115000989,83.1133723999999,ok
Tiger1,349,9.75665144476215,35.7704692,ok
Toy,271,14.9394338263291,18.139911,ok
Trans,124,18.7316169572857,6.6198236,ok
Twinnings,472,9.97966526912943,47.2961755,ok
Vase,271,11.8437764973087,22.8812153,ok
