sequence_src,sequence_otb,frames,fps,txt_path,classic_mat_path,unified_mat_path
Basketball,Basketball,725,64.901147,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Basketball.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Basketball_MyTrackerECO.mat
Biker,Biker,142,45.420669,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Biker.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Biker_MyTrackerECO.mat
Bird1,Bird1,408,57.747597,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Bird1.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Bird1_MyTrackerECO.mat
Bird2,Bird2,99,32.809138,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Bird2.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Bird2_MyTrackerECO.mat
BlurBody,BlurBody,334,61.547692,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurBody.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurBody_MyTrackerECO.mat
BlurCar1,BlurCar1,742,68.096079,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurCar1.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurCar1_MyTrackerECO.mat
BlurCar2,BlurCar2,585,67.676359,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurCar2.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurCar2_MyTrackerECO.mat
BlurCar3,BlurCar3,357,62.904130,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurCar3.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurCar3_MyTrackerECO.mat
BlurCar4,BlurCar4,380,63.738925,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurCar4.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurCar4_MyTrackerECO.mat
BlurFace,BlurFace,493,64.687475,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurFace.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurFace_MyTrackerECO.mat
BlurOwl,BlurOwl,631,64.209404,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\BlurOwl.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\BlurOwl_MyTrackerECO.mat
Board,Board,698,68.370000,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Board.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Board_MyTrackerECO.mat
Bolt,Bolt,350,53.676454,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Bolt.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Bolt_MyTrackerECO.mat
Bolt2,Bolt2,293,55.571234,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\txt_results\MyTrackerECO\Bolt2.txt,,E:\Programming\Python\Project\AI\CV\Tracking\TransTResearch\MyECOTracker\otb100result\otb_matlab_export\MyTrackerECO_embed_v2_932\unified_otb\results\OPE_OTB\Bolt2_MyTrackerECO.mat
