sequence,len,fps,total_time_sec,status
Basketball,725,32.2456273884058,22.4836686,ok
Biker,142,47.3796469382154,2.9970675,ok
Bird1,408,34.9791341748661,11.6640966,ok
BlurBody,334,6.68025446425305,49.9980954,ok
BlurCar2,585,5.21945508037788,112.0806657,ok
BlurFace,493,6.89567588600116,71.4940795000001,ok
BlurOwl,631,11.9398190733293,52.848372,ok
Bolt,350,26.4973731829095,13.2088565,ok
Box,1161,7.99404914443685,145.2330326,ok
Car1,1020,12.1528814615984,83.9307125000001,ok
Car4,659,9.52860981145598,69.1601411999999,ok
CarDark,393,29.0224063832988,13.5412617,ok
CarScale,252,21.9512239100884,11.4799977,ok
ClifBar,472,17.8823537149493,26.3947357,ok
Couple,140,25.8802602067911,5.4095283,ok
Crowds,347,28.2004795333069,12.3047553,ok
David,471,16.532182103776,28.489887,ok
Deer,71,8.83705787110397,8.0343482,ok
Diving,215,22.2742509586397,9.65240089999999,ok
DragonBaby,113,13.9554877491751,8.0971731,ok
Dudek,1145,9.09674235979386,125.8692348,ok
Football,362,30.1548324026902,12.0047094,ok
Freeman4,283,48.9457805278119,5.781908,ok
Girl,500,41.7155980202545,11.9859243,ok
Human3,1698,23.2225160384126,73.1186921,ok
Human4-2,667,38.3738592162175,17.3816242,ok
Human6,792,34.7096875596956,22.8178372,ok
Human9,305,16.2552903908498,18.7631222,ok
Ironman,166,13.6059929513908,12.2005061,ok
Jump,122,11.0601304571398,11.0306113,ok
Jumping,313,19.669905181442,15.9126339,ok
Liquor,1741,6.38755440417395,272.5612793,ok
Matrix,100,19.2021004947306,5.2077636,ok
MotorRolling,164,6.57526278929808,24.9419689,ok
Panda,1000,27.2049985245505,36.7579509,ok
RedTeam,1918,26.1156998348876,73.4424125,ok
Shaking,365,11.3878437569616,32.0517218,ok
Singer2,366,10.7493883832969,34.0484488,ok
Skating1,400,31.3746916034494,12.7491293,ok
Skating2-1,473,11.6111093454424,40.7368483,ok
Skating2-2,473,8.52375253840909,55.4919911,ok
Skiing,81,39.7479762391505,2.0378396,ok
Soccer,392,11.8632607398417,33.0431918,ok
Surfer,376,42.2163133355855,8.9065096,ok
Sylvester,1345,23.8974217757475,56.2822221,ok
Tiger2,365,14.9548111495795,24.4068612,ok
Trellis,569,19.7268129021663,28.8439903,ok
Walking,412,37.2918340631776,11.0479951,ok
Walking2,500,29.3525356055797,17.0343035,ok
Woman,597,37.4770358991711,15.929755,ok
Bird2,99,15.3497605747447,6.449612,ok
BlurCar1,742,7.25174083780587,102.3202589,ok
BlurCar3,357,18.0606131174446,19.7667708,ok
BlurCar4,380,7.00846792604163,54.220124,ok
Board,698,6.24101093805031,111.8408551,ok
Bolt2,293,28.5450374247848,10.2644812,ok
Boy,602,31.9553437129775,18.8387897,ok
Car2,913,23.2694890088009,39.2359282,ok
Car24,3059,38.6487655237476,79.1487117,ok
Coke,291,19.1366162441818,15.2064501,ok
Coupon,327,12.8298566945812,25.4874242,ok
Crossing,120,23.9299837391772,5.0146294,ok
Dancer,225,12.7646074764065,17.626864,ok
Dancer2,150,12.195806701147,12.2993094,ok
David2,537,10.7188229073326,50.0987846,ok
David3,252,4.74354074268838,53.1248731,ok
Dog,127,3.65326347104588,34.7634385,ok
Dog1,1350,8.83993534955842,152.716049,ok
Doll,3872,7.81923301158333,495.1892333,ok
FaceOcc1,892,2.21917783034461,401.9506629,ok
FaceOcc2,812,3.50573090898237,231.6207436,ok
Fish,476,9.48797030112213,50.1687911,ok
FleetFace,707,1.19609268973486,591.0913143,ok
Football1,74,18.2159164080458,4.0623814,ok
Freeman1,326,4.3292521460073,75.3016892999999,ok
Freeman3,460,9.70539818698984,47.3963037,ok
Girl2,1500,2.64681096276111,566.7197322,ok
Gym,767,30.4145382603194,25.218203,ok
Human2,1128,6.37360282256538,176.9799643,ok
Human5,713,47.4271385949436,15.0335867,ok
Human7,250,29.7674248473434,8.3984423,ok
Human8,128,31.9359508537652,4.0080222,ok
Jogging-1,307,33.2892743823007,9.2221896,ok
Jogging-2,307,29.361280349988,10.4559473,ok
KiteSurf,84,40.114691724086,2.0939959,ok
Lemming,1336,15.7877566226277,84.6225358000001,ok
Man,134,37.2752524814191,3.5948784,ok
Mhyang,1490,26.8326818499247,55.5292985,ok
MountainBike,228,19.9590821308351,11.423371,ok
Rubik,1997,14.6112789591232,136.675236,ok
Singer1,351,7.58214759543735,46.2929527,ok
Skater,160,22.9396429891892,6.9748252,ok
Skater2,435,20.0651676052214,21.6793604,ok
Subway,175,45.4809941292873,3.8477611,ok
Suv,945,20.3746108287628,46.381254,ok
Tiger1,349,14.1559938686618,24.6538677,ok
Toy,271,23.5088796898903,11.5275591,ok
Trans,124,6.94821416971393,17.8463123,ok
Twinnings,472,28.3148295422366,16.6697101,ok
Vase,271,22.014931647699,12.309827,ok
