sequence,frames,mytracker_auc,csrt_auc,delta_auc_my_minus_csrt
Basketball,725,0.7469293924466337,0.30029556650246303,0.44663382594417067
Biker,142,0.6656606304493629,0.2813547954393024,0.38430583501006044
Bird1,408,0.1988795518207284,0.2428804855275444,-0.044000933706816014
Bird2,99,0.8100048100048101,0.6050986050986051,0.20490620490620493
BlurBody,334,0.7015968063872255,0.6461362988309096,0.05546050755631593
BlurCar1,742,0.8142728789629059,0.752855859324862,0.06141701963804391
BlurCar2,585,0.8679690679690679,0.8046398046398047,0.06332926332926325
BlurCar3,357,0.8426037081499267,0.24396425236761368,0.598639455782313
BlurCar4,380,0.8799498746867167,0.7540100250626567,0.12593984962406002
BlurFace,493,0.8446827006664734,0.7521491355162754,0.09253356515019806
BlurOwl,631,0.7557920156969287,0.7954871330465626,-0.039695117349633935
Board,698,0.7342747987447127,0.60901896575249,0.12525583299222265
Bolt,350,0.0582312925170068,0.6684353741496599,-0.6102040816326532
Bolt2,293,0.662928652689745,0.636274987810824,0.026653664878920957
Box,1161,0.6762232886263894,0.3549895410360527,0.3212337475903367
Boy,602,0.8379212149976271,0.778357854769815,0.05956336022781206
Car1,1020,0.7744631185807656,0.28291316526610644,0.4915499533146591
Car2,913,0.8397225264695145,0.8220935690815209,0.017628957387993638
Car24,3059,0.7875900932455361,0.43746010990208445,0.35012998334345163
Car4,659,0.8682708288171112,0.8252763928029484,0.04299443601416275
CarDark,393,0.8278201865988125,0.8543559917605719,-0.02653580516175935
CarScale,252,0.7365835222978081,0.5939153439153441,0.14266817838246404
ClifBar,472,0.5019168684422921,0.5057506053268765,-0.0038337368845844377
Coke,291,0.6049746359024709,0.5527736867943054,0.05220094910816553
Couple,140,0.7404761904761906,0.3874149659863947,0.35306122448979593
Coupon,327,0.3955147808358818,0.8475316732197465,-0.4520168923838647
Crossing,120,0.7626984126984127,0.7706349206349207,-0.00793650793650802
Crowds,347,0.6764100452861259,0.6394949910800056,0.03691505420612029
Dancer,225,0.7932275132275132,0.7411640211640212,0.05206349206349192
Dancer2,150,0.6812698412698411,0.6707936507936508,0.010476190476190306
David,471,0.7982003841876454,0.7347083206955818,0.0634920634920636
David2,537,0.8056220626053029,0.8053560344063138,0.0002660281989891322
David3,252,0.7683295540438398,0.77437641723356,-0.006046863189720142
Deer,71,0.7813547954393025,0.6948356807511737,0.08651911468812878
Diving,215,0.31495016611295684,0.3543743078626799,-0.039424141749723085
Dog,127,0.5658042744656917,0.4728158980127484,0.09298837645294328
Dog1,1350,0.8142857142857142,0.7807407407407406,0.033544973544973544
Doll,3872,0.7177292404565131,0.7156631247540338,0.0020661157024792765
DragonBaby,113,0.7269279393173198,0.26843657817109146,0.45849136114622835
Dudek,1145,0.8128509045539613,0.7921397379912664,0.020711166562694894
FaceOcc1,892,0.7685778347213323,0.5712150330984412,0.1973628016228911
FaceOcc2,812,0.7778559699741966,0.6886582219094534,0.08919774806474323
Fish,476,0.8311324529811924,0.7570028011204483,0.07412965186074416
FleetFace,707,0.6857277564491143,0.588738465683303,0.09698929076581131
Football,362,0.746908708234675,0.6885030255196001,0.05840568271507496
Football1,74,0.72007722007722,0.7696267696267696,-0.0495495495495496
Freeman1,326,0.7002629272567924,0.23166812737364892,0.46859479988314345
Freeman3,460,0.7745341614906833,0.3572463768115942,0.4172877846790891
Freeman4,283,0.5970048796903921,0.18492343934040048,0.4120814403499916
Girl,500,0.7532380952380953,0.5801904761904761,0.17304761904761912
Girl2,1500,0.6363174603174604,0.09726984126984126,0.5390476190476191
Gym,767,0.47314832060594786,0.4710995219469797,0.002048798658968176
Human2,1128,0.7767646065518408,0.6610942249240122,0.11567038162782861
Human3,1698,0.6495877502944641,0.062230074597565764,0.5873576756968983
Human4-2,667,0.48847005068894134,0.5737131434282858,-0.0852430927393445
Human5,713,0.7786014826688037,0.3848928070526949,0.3937086756161088
Human6,792,0.7415223665223666,0.25276575276575275,0.48875661375661383
Human7,250,0.8078095238095238,0.7359999999999999,0.07180952380952388
Human8,128,0.7548363095238095,0.6238839285714286,0.13095238095238093
Human9,305,0.7857923497267759,0.22435597189695547,0.5614363778298205
Ironman,166,0.5174985656913367,0.12880091795754445,0.38869764773379223
Jogging-1,307,0.7653172017992864,0.6925701876841942,0.07274701411509221
Jogging-2,307,0.7660927563207691,0.7764851869086397,-0.010392430587870538
Jump,122,0.3657298985167837,0.09289617486338797,0.27283372365339575
Jumping,313,0.6555606268066333,0.7322379431005629,-0.0766773162939296
KiteSurf,84,0.7777777777777779,0.5062358276643991,0.2715419501133788
Lemming,1336,0.7779441117764472,0.2666809238665526,0.5112631879098946
Liquor,1741,0.8100708405131152,0.6618527939607779,0.14821804655233728
Man,134,0.7469793887704336,0.8056147832267234,-0.05863539445628985
Matrix,100,0.5476190476190477,0.13380952380952377,0.4138095238095239
Mhyang,1490,0.7721955896452541,0.7169383189517416,0.055257270693512495
MotorRolling,164,0.6396631823461091,0.12514518002322877,0.5145180023228804
MountainBike,228,0.6169590643274854,0.6493316624895572,-0.03237259816207183
Panda,1000,0.47342857142857137,0.3800476190476191,0.09338095238095229
RedTeam,1918,0.6412185312081037,0.51186752073092,0.12935101047718367
Rubik,1997,0.777261129789923,0.32703817631208715,0.45022295347783586
Shaking,365,0.7371167645140247,0.6619699934768428,0.07514677103718193
Singer1,351,0.8450685117351785,0.7875457875457876,0.05752272418939086
Singer2,366,0.0827478532396565,0.0792349726775956,0.003512880562060894
Skater,160,0.6017857142857141,0.5967261904761905,0.0050595238095236805
Skater2,435,0.6213464696223316,0.5539135194307607,0.06743295019157092
Skating1,400,0.559047619047619,0.3897619047619048,0.1692857142857142
Skating2-1,473,0.4671297694553508,0.3599114064230343,0.10721836303231647
Skating2-2,473,0.5253196415987114,0.3886036444175979,0.13671599718111344
Skiing,81,0.5073486184597295,0.10229276895943563,0.40505584950029383
Soccer,392,0.527089407191448,0.21562196307094267,0.31146744412050537
Subway,175,0.6889795918367347,0.6361904761904761,0.052789115646258655
Surfer,376,0.7006079027355623,0.5225430597771022,0.17806484295846003
Suv,945,0.7888636936255983,0.26087175610985136,0.5279919375157469
Sylvester,1345,0.7388564347672154,0.6479022835900159,0.09095415117719952
Tiger1,349,0.24737344794651386,0.22240414790558058,0.024969300040933284
Tiger2,365,0.6581865622961512,0.6460534898891063,0.012133072407044976
Toy,271,0.6376735195923389,0.4187313301704446,0.21894218942189425
Trans,124,0.5779569892473118,0.5241935483870969,0.053763440860214895
Trellis,569,0.7606494267302703,0.6536948698635869,0.10695455686668331
Twinnings,472,0.6051251008878127,0.7057102502017755,-0.10058514931396279
Vase,271,0.5009664382358109,0.3314004568617115,0.1695659813740994
Walking,412,0.7376329172445677,0.3748266296809986,0.3628062875635691
Walking2,500,0.362,0.7253333333333333,-0.3633333333333333
Woman,597,0.636675440695541,0.743080481773949,-0.10640504107840798
