sequence,frames,myeco_auc,ostrack_auc,stark_auc
Basketball,725,0.7469293924466337,0.2492610837438423,0.3458784893267651
Biker,142,0.6656606304493629,0.7122736418511065,0.7481556002682763
Bird1,408,0.1988795518207284,0.1814892623716153,0.1705182072829132
Bird2,99,0.8100048100048101,0.701779701779702,0.7316017316017317
BlurBody,334,0.7015968063872255,0.8254918733960652,0.8274878813800971
BlurCar1,742,0.8142728789629059,0.8661275831087151,0.8405211141060197
BlurCar2,585,0.8679690679690679,0.831908831908832,0.8465608465608466
BlurCar3,357,0.8426037081499267,0.8522075496865413,0.8715486194477791
BlurCar4,380,0.8799498746867167,0.8854636591478696,0.8744360902255638
BlurFace,493,0.8446827006664734,0.8317395923886796,0.8266203032937312
BlurOwl,631,0.7557920156969287,0.8351067843936308,0.8365406384423816
Board,698,0.7342747987447127,0.8865465957156502,0.7838722881702823
Bolt,350,0.0582312925170068,0.17850340136054418,0.11972789115646254
Bolt2,293,0.662928652689745,0.5910937753941167,0.2533723386965707
Box,1161,0.6762232886263894,0.8535745047372956,0.8288011156228211
Boy,602,0.8379212149976271,0.8479670938142698,0.8418762853978802
Car1,1020,0.7744631185807656,0.6097105508870216,0.7255835667600373
Car2,913,0.8397225264695145,0.8343503885672561,0.8291868773796484
Car24,3059,0.7875900932455361,0.8673547222092498,0.8584660408785941
Car4,659,0.8682708288171112,0.856203482910615,0.8460871450249298
CarDark,393,0.8278201865988125,0.8127953471464922,0.778504786138374
CarScale,252,0.7365835222978081,0.8745275888133031,0.872826908541194
ClifBar,472,0.5019168684422921,0.7495964487489911,0.6562752219531881
Coke,291,0.6049746359024709,0.755195549009982,0.6637211585665194
Couple,140,0.7404761904761906,0.6948979591836736,0.7486394557823131
Coupon,327,0.3955147808358818,0.4030872287753022,0.3959516528323868
Crossing,120,0.7626984126984127,0.7932539682539682,0.7944444444444443
Crowds,347,0.6764100452861259,0.6902703444490188,0.11801838891176064
Dancer,225,0.7932275132275132,0.6035978835978837,0.6573544973544974
Dancer2,150,0.6812698412698411,0.6482539682539681,0.6473015873015872
David,471,0.7982003841876454,0.8192296026690931,0.5482762106965927
David2,537,0.8056220626053029,0.7816795246962843,0.7890396382016495
David3,252,0.7683295540438398,0.6555177626606198,0.6870748299319729
Deer,71,0.7813547954393025,0.12608987256874582,0.5553319919517103
Diving,215,0.31495016611295684,0.7388704318936876,0.7419712070874861
Dog,127,0.5658042744656917,0.3622047244094488,0.4030746156730408
Dog1,1350,0.8142857142857142,0.8676895943562611,0.8798589065255733
Doll,3872,0.7177292404565131,0.7568870523415976,0.8548676702085793
DragonBaby,113,0.7269279393173198,0.7378845343447114,0.7833965444584912
Dudek,1145,0.8128509045539613,0.8889166146808068,0.8638802245789147
FaceOcc1,892,0.7685778347213323,0.5398782831518258,0.6770766602605168
FaceOcc2,812,0.7778559699741966,0.6834975369458128,0.7223786066150599
Fish,476,0.8311324529811924,0.8445378151260504,0.8381352541016407
FleetFace,707,0.6857277564491143,0.8469050986731326,0.8437394759884149
Football,362,0.746908708234675,0.2570376216785056,0.47066561431202303
Football1,74,0.72007722007722,0.5540540540540541,0.6698841698841699
