sequence,frames,mytracker_auc,csrt_auc,delta_auc_my_minus_csrt
airplane-1,2788,0.46838491494158624,0.14895470383275264,0.31943021110883363
airplane-13,2971,0.30948373964193554,0.08071677004696189,0.22876696959497367
airplane-15,4500,0.20275132275132274,0.1761904761904762,0.026560846560846535
airplane-9,7971,0.24717577408582303,0.10051914380104068,0.14665663028478235
basketball-1,1088,0.17633928571428573,0.09051120448179273,0.085828081232493
basketball-11,1851,0.13058578374623758,0.060970903758586104,0.06961487998765148
basketball-6,1794,0.2364495407973669,0.11387163561076605,0.12257790518660086
basketball-7,2101,0.8115409895514608,0.14852337888987105,0.6630176106615897
bear-17,2413,0.5610285556410712,0.4555680539932509,0.10546050164782034
bear-2,6800,0.662044817927171,0.3964285714285714,0.26561624649859955
bear-4,1974,0.1787041057557775,0.13634389926183238,0.04236020649394512
bear-6,1671,0.6570060699324614,0.26596563221338804,0.3910404377190733
bicycle-18,1355,0.28525742400281145,0.21714988578457217,0.06810753821823928
bicycle-2,2181,0.2852776140258946,0.18065107748739112,0.10462653653850346
bicycle-7,2461,0.5432944408970415,0.3390414272169656,0.20425301368007587
bicycle-9,3001,0.08584440107265832,0.07864045318227258,0.00720394789038574
bird-15,1575,0.5671050642479213,0.27528344671201815,0.29182161753590313
bird-17,5000,0.3359142857142857,0.08861904761904763,0.2472952380952381
bird-2,4101,0.45260737799143075,0.10099743384308123,0.3516099441483495
bird-3,2311,0.49030516577033234,0.21709834950856158,0.2732068162617708
microphone-14,2242,0.49313962873284906,0.3333758124123869,0.15976381632046216
microphone-16,2178,0.4609296427478246,0.3430845249027067,0.11784511784511792
microphone-2,4017,0.2945576537809548,0.21512144813115683,0.07943620564979795
microphone-6,1767,0.36510631417252815,0.36790901986148167,-0.002802705688953522
monkey-17,2260,0.4255794353139486,0.16144121365360306,0.2641382216603455
monkey-3,1261,0.24980174464710547,0.2264642573920924,0.023337487255013084
monkey-4,1435,0.21383773021403688,0.1546706487473038,0.05916708146673308
monkey-9,4079,0.054880397856617545,0.05184510676052721,0.0030352910960903326
shark-2,3455,0.09158569361174283,0.07933291985390392,0.012252773757838911
shark-3,1000,0.4580952380952382,0.11299999999999996,0.34509523809523823
shark-5,1510,0.4075685903500473,0.10384736676127403,0.30372122358877324
shark-6,1238,0.2605585045003462,0.0728517578275252,0.18770674667282097
squirrel-11,1449,0.19425547996976572,0.1230405205560485,0.07121495941371722
squirrel-13,2000,0.19057142857142853,0.10835714285714289,0.08221428571428564
squirrel-19,1205,0.21276427583481525,0.09670025686623196,0.11606401896858329
squirrel-8,1041,0.2259731942729061,0.0998124513974658,0.1261607428754403
volleyball-1,1309,0.2748735857979555,0.20495470915638986,0.06991887664156565
volleyball-13,2042,0.057390047106011845,0.051023739564385974,0.006366307541625871
volleyball-18,2606,0.1384716588093411,0.05803457223257684,0.08043708657676425
volleyball-19,1467,0.05524718408153992,0.05570162625377349,-0.00045444217223357397
