sequence,frames,myeco_auc,ostrack_auc,stark_auc
airplane-1,2788,0.46838491494158624,0.8051513288242125,0.7316731570677051
airplane-13,2971,0.30948373964193554,0.8151816768444166,0.7972624256703691
airplane-15,4500,0.20275132275132274,0.7816190476190475,0.801026455026455
airplane-9,7971,0.24717577408582303,0.8739836669832906,0.8614680598120569
basketball-1,1088,0.17633928571428573,0.8219975490196079,0.8022146358543416
basketball-11,1851,0.13058578374623758,0.733142960047336,0.7011653932237399
basketball-6,1794,0.2364495407973669,0.8158677071720549,0.8043212825821522
basketball-7,2101,0.8115409895514608,0.8992089934498311,0.8905283198476914
bear-17,2413,0.5610285556410712,0.9185167643518245,0.8883823732559746
bear-2,6800,0.662044817927171,0.9196498599439777,0.916281512605042
bear-4,1974,0.1787041057557775,0.7690693298596035,0.6421575722487577
bear-6,1671,0.6570060699324614,0.8648371377276225,0.8545211022769372
bicycle-18,1355,0.28525742400281145,0.8142329994728519,0.797575118608329
bicycle-2,2181,0.2852776140258946,0.8246108163577214,0.7976681731839916
bicycle-7,2461,0.5432944408970415,0.8545887269983165,0.846152357733016
bicycle-9,3001,0.08584440107265832,0.6632868408943051,0.7545580044746989
bird-15,1575,0.5671050642479213,0.7547996976568406,0.185124716553288
bird-17,5000,0.3359142857142857,0.8984857142857142,0.8564285714285712
bird-2,4101,0.45260737799143075,0.3116661441460271,0.2130955283844823
bird-3,2311,0.49030516577033234,0.845397786981517,0.8685170303517338
microphone-14,2242,0.49313962873284906,0.4788878977103777,0.13436132704642967
microphone-16,2178,0.4609296427478246,0.6207311207311206,0.6240981240981242
microphone-2,4017,0.2945576537809548,0.593110233886933,0.5304716858114917
microphone-6,1767,0.36510631417252815,0.5443177837065782,0.39394184385695424
monkey-17,2260,0.4255794353139486,0.7587020648967551,0.6815634218289085
monkey-3,1261,0.24980174464710547,0.36248631093991923,0.2893017635285676
monkey-4,1435,0.21383773021403688,0.5794922847187656,0.5079143852663016
monkey-9,4079,0.054880397856617545,0.5746506496690366,0.4907248508621394
shark-2,3455,0.09158569361174283,0.4777479153745435,0.3550685686720419
shark-3,1000,0.4580952380952382,0.7467619047619047,0.7328095238095238
shark-5,1510,0.4075685903500473,0.7557237464522234,0.7367707347839799
shark-6,1238,0.2605585045003462,0.8081775521193938,0.7236325871220862
squirrel-11,1449,0.19425547996976572,0.7339708830392059,0.23402017811955705
squirrel-13,2000,0.19057142857142853,0.5038333333333332,0.3630714285714286
squirrel-19,1205,0.21276427583481525,0.8687611144042681,0.8509780675755779
squirrel-8,1041,0.2259731942729061,0.6027629111202598,0.5892228168885231
volleyball-1,1309,0.2748735857979555,0.7756920950198262,0.7810396886027139
volleyball-13,2042,0.057390047106011845,0.5999020568070519,0.6307308427778555
volleyball-18,2606,0.1384716588093411,0.25888974162189815,0.4304352592917443
volleyball-19,1467,0.05524718408153992,0.22907131496088556,0.21741811925861004
