sequence_src,sequence_otb,frames,fps,txt_path,classic_mat_path,unified_mat_path
Basketball,Basketball,725,36.271086,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\Basketball.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\Basketball_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\Basketball_MyTracker.mat
Biker,Biker,142,36.257925,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\Biker.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\Biker_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\Biker_MyTracker.mat
Bird1,Bird1,408,38.519142,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\Bird1.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\Bird1_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\Bird1_MyTracker.mat
Bird2,Bird2,99,31.995128,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\Bird2.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\Bird2_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\Bird2_MyTracker.mat
BlurBody,BlurBody,334,32.685509,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\BlurBody.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\BlurBody_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\BlurBody_MyTracker.mat
BlurCar1,BlurCar1,742,34.986111,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\BlurCar1.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\BlurCar1_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\BlurCar1_MyTracker.mat
BlurCar2,BlurCar2,585,35.345090,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\BlurCar2.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\BlurCar2_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\BlurCar2_MyTracker.mat
BlurCar3,BlurCar3,357,35.958007,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\BlurCar3.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\BlurCar3_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\BlurCar3_MyTracker.mat
BlurCar4,BlurCar4,380,35.679307,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\BlurCar4.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\BlurCar4_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\BlurCar4_MyTracker.mat
BlurFace,BlurFace,493,40.483446,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\txt_results\MyTracker\BlurFace.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\classic_otb\results\OPE\MyTracker\BlurFace_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\MyTracker_run810\unified_otb\results\OPE_OTB\BlurFace_MyTracker.mat
