sequence,frames,fps,total_time_sec
Basketball,725,63.319550974660814,11.449860095977783
Biker,142,44.62086038175975,3.182368040084839
Bird1,408,66.15070092970231,6.1677350997924805
BlurBody,334,58.59520401029644,5.700125217437744
BlurCar2,585,62.7756166351808,9.318904876708984
BlurFace,493,62.00592665999646,7.950852870941162
BlurOwl,631,63.64862381497507,9.913804292678833
Bolt,350,65.12395145571803,5.374366760253906
Box,1161,57.02196201556173,20.360576152801514
Car1,1020,68.51885411584303,14.88641357421875
Car4,659,66.39922774476449,9.924814224243164
CarDark,393,66.54219406174141,5.90602707862854
CarScale,252,62.97505728866558,4.00158429145813
ClifBar,472,66.8810015612571,7.057310581207275
Couple,140,49.47769410009719,2.8295578956604004
Crowds,347,62.79586586028883,5.525841474533081
David,471,62.29438566445064,7.560873985290527
Deer,71,36.08884483081437,1.9673669338226318
Diving,215,55.52387169953192,3.8722083568573
DragonBaby,113,43.753481630061444,2.5826516151428223
Dudek,1145,67.73530948421791,16.90403437614441
Football,362,66.06040866973821,5.479832887649536
Freeman4,283,62.01424356671491,4.563467741012573
Girl,500,68.69217578799561,7.278849363327026
Human3,1698,68.78414437050863,24.685921669006348
Human4-2,667,68.54074112130475,9.731438398361206
Human6,792,69.53706749143767,11.38960886001587
Human9,305,59.391865839647316,5.135383367538452
Ironman,166,50.00085918340233,3.3199429512023926
Jump,122,45.30291189383943,2.692983627319336
Jumping,313,62.40652107300165,5.015501499176025
Liquor,1741,72.48808225813515,24.017741203308105
Matrix,100,44.43303154114027,2.250577926635742
MotorRolling,164,50.12068879839175,3.272101879119873
Panda,1000,73.60442248740279,13.586140155792236
RedTeam,1918,76.93810095554956,24.929131031036377
Shaking,365,61.46479411121615,5.938358783721924
Singer2,366,59.20912210225893,6.1814799308776855
Skating1,400,63.27068935653025,6.32204270362854
Skating2-1,473,62.58914145451705,7.557221412658691
Skating2-2,473,62.303787279744945,7.591833829879761
Skiing,81,40.00435488035913,2.0247795581817627
Soccer,392,60.54856980148091,6.474141359329224
Surfer,376,64.82130364427351,5.800562143325806
Sylvester,1345,69.99765786842799,19.21492862701416
Tiger2,365,59.64185302429025,6.119863510131836
Trellis,569,64.57281776393957,8.811757326126099
Walking,412,64.39025972322581,6.3984832763671875
Walking2,500,65.28093514620842,7.659204006195068
Woman,597,71.30057132157174,8.37300443649292
Bird2,99,42.086691656339326,2.352287530899048
BlurCar1,742,64.39574457255053,11.52250051498413
BlurCar3,357,58.64336190397563,6.087645530700684
BlurCar4,380,60.262024696141616,6.305795431137085
Board,698,64.41040680173204,10.836758136749268
Bolt2,293,60.60406916273766,4.834658861160278
Boy,602,68.33979401256417,8.808923244476318
Car2,913,69.64670257362548,13.109019756317139
Car24,3059,77.58228007337871,39.42910671234131
Coke,291,57.59900060126451,5.052170991897583
Coupon,327,60.826945739498,5.375906944274902
Crossing,120,48.24024523222657,2.4875495433807373
Dancer,225,54.118192585097724,4.157566785812378
Dancer2,150,48.95230519001548,3.064207077026367
David2,537,70.18015676282934,7.651735544204712
David3,252,56.533620364723056,4.457524538040161
Dog,127,44.7634398319167,2.837136745452881
Dog1,1350,75.47006026784325,17.887888193130493
Doll,3872,74.94502266254257,51.66453838348389
FaceOcc1,892,67.92790147361922,13.131570100784302
FaceOcc2,812,66.29712074722379,12.247892379760742
Fish,476,61.84821874883056,7.696260452270508
FleetFace,707,62.251666046047674,11.357125759124756
Football1,74,39.64940750432354,1.8663582801818848
Freeman1,326,62.604785376701074,5.207269668579102
Freeman3,460,66.02474684289146,6.967084646224976
Girl2,1500,66.3866754009484,22.594895601272583
Gym,767,66.67961627402971,11.502765655517578
Human2,1128,64.10601113568725,17.595853805541992
Human5,713,66.11162548529128,10.7847900390625
Human7,250,54.28445716966497,4.605369806289673
Human8,128,45.32172885636083,2.8242523670196533
Jogging-1,307,57.74764495780814,5.316234111785889
Jogging-2,307,56.193898753680706,5.463226556777954
KiteSurf,84,40.91066900821322,2.0532541275024414
Lemming,1336,65.36348973994603,20.439545154571533
Man,134,50.80508465996445,2.637531280517578
Mhyang,1490,67.06160941948879,22.218375205993652
MountainBike,228,53.341953413902644,4.274309158325195
Rubik,1997,67.14924904460317,29.73972201347351
Singer1,351,58.50277103197853,5.999715805053711
Skater,160,47.85815888093735,3.343212604522705
Skater2,435,60.53543194017493,7.1858742237091064
Subway,175,52.96033641644364,3.3043596744537354
Suv,945,66.16795760341157,14.281837224960327
Tiger1,349,56.90323020540621,6.133219480514526
Toy,271,54.66031754886172,4.957892894744873
Trans,124,43.953100349499415,2.8211889266967773
Twinnings,472,63.51051943616896,7.43183970451355
Vase,271,55.10303839448008,4.9180591106414795
