sequence,len,fps,total_time_sec,status
Basketball,725,50.1267664439146,14.4633307,ok
Biker,142,133.967799801539,1.0599562,ok
Bird1,408,85.8041258787746,4.7550161,ok
BlurBody,334,6.2663775952911,53.300331,ok
BlurCar2,585,20.7638650424871,28.1739454,ok
BlurFace,493,16.6391342433673,29.6289454,ok
BlurOwl,631,32.4276399697581,19.4587087,ok
Bolt,350,67.8141755187416,5.1611628,ok
Box,1161,19.971124815412,58.1339314000001,ok
Car1,1020,47.5319082282435,21.4592689,ok
Car4,659,19.7182529156354,33.4208108,ok
CarDark,393,111.786669846376,3.5156249,ok
CarScale,252,78.3588351436764,3.2159743,ok
ClifBar,472,71.1671795905436,6.63227069999999,ok
Couple,140,73.0799089132016,1.9157112,ok
Crowds,347,93.7786183561025,3.7002038,ok
David,471,35.2841717145943,13.3487617,ok
Deer,71,28.1609160753932,2.5212248,ok
Diving,215,76.9771647419809,2.7930361,ok
DragonBaby,113,71.1931839015704,1.5872306,ok
Dudek,1145,16.2777493670632,70.3414196999999,ok
Football,362,132.970585657558,2.7224066,ok
Freeman4,283,454.997016795178,0.6219821,ok
Girl,500,151.270853670439,3.3053294,ok
Human3,1698,87.0846043856176,19.49828,ok
Human4-2,667,58.3256508744764,11.4357918,ok
Human6,792,74.3363070077465,10.6542823,ok
Human9,305,36.0820902333578,8.4529471,ok
Ironman,166,51.6507309122935,3.2138945,ok
Jump,122,20.7628290627598,5.8758852,ok
Jumping,313,100.449081205412,3.1160066,ok
Liquor,1741,13.1499925171935,132.3955126,ok
Matrix,100,71.3122967287552,1.4022827,ok
MotorRolling,164,14.2606081620695,11.5002108,ok
Panda,1000,124.166882127249,8.05367729999999,ok
RedTeam,1918,115.263460931807,16.6401389,ok
Shaking,365,31.1793552690206,11.706464,ok
Singer2,366,18.0581152481645,20.2678959,ok
Skating1,400,49.9619028000674,8.0061002,ok
Skating2-1,473,12.3297587781229,38.3624699,ok
Skating2-2,473,6.98255222141935,67.7402739,ok
Skiing,81,113.671798363631,0.7125778,ok
Soccer,392,29.8085451137312,13.1505915,ok
Surfer,376,117.302502907838,3.2053877,ok
Sylvester,1345,46.694455248685,28.8042765,ok
Tiger2,365,31.3954391028474,11.6258925,ok
Trellis,569,24.448577901202,23.2733373,ok
Walking,412,54.9194284663047,7.5018989,ok
Walking2,500,24.8365990215731,20.1315808,ok
Woman,597,37.1987453068829,16.0489284,ok
Bird2,99,17.9091971144123,5.527886,ok
BlurCar1,742,8.84592800766764,83.8804023000001,ok
BlurCar3,357,21.9798008216308,16.2421854,ok
BlurCar4,380,3.5591768410732,106.76626,ok
Board,698,2.78671701656401,250.4739433,ok
Bolt2,293,32.6180045373537,8.982769,ok
Boy,602,44.1408091224417,13.6381732,ok
Car2,913,29.0592098938964,31.4186106,ok
Car24,3059,73.3508247994521,41.7036892,ok
Coke,291,22.1246628497898,13.1527428,ok
Coupon,327,16.2563740956976,20.1151867,ok
Crossing,120,59.3998771016543,2.0202062,ok
Dancer,225,15.8076563716202,14.233609,ok
Dancer2,150,14.9623908336484,10.0251358,ok
David2,537,91.6696901731765,5.8579886,ok
David3,252,28.1922596204604,8.9386237,ok
Dog,127,51.5834326686733,2.4620308,ok
Dog1,1350,74.2566554012536,18.1801886,ok
Doll,3872,48.9055583360978,79.1730047000001,ok
FaceOcc1,892,10.0912818210217,88.3931314000001,ok
FaceOcc2,812,22.8803505206581,35.4889668000001,ok
Fish,476,34.8418525749721,13.6617305,ok
FleetFace,707,10.0917804610669,70.0570135,ok
Football1,74,84.4115964194882,0.8766568,ok
Freeman1,326,127.76300730291,2.5515993,ok
Freeman3,460,199.120433102525,2.3101597,ok
Girl2,1500,13.3382650649553,112.4584039,ok
Gym,767,45.2267414082105,16.9589932,ok
Human2,1128,2.66806157467172,422.7788484,ok
Human5,713,114.471075318644,6.2286477,ok
Human7,250,34.0670225335094,7.3384752,ok
Human8,128,54.0019152960552,2.3702863,ok
Jogging-1,307,51.0137198824012,6.01798890000001,ok
Jogging-2,307,35.389929762056,8.6747841,ok
KiteSurf,84,109.108338085175,0.769877,ok
Lemming,1336,23.7456331518472,56.2629764999999,ok
Man,134,100.323565960723,1.3356782,ok
Mhyang,1490,38.3346778900004,38.8682019,ok
MountainBike,228,37.1647252770467,6.1348496,ok
Rubik,1997,26.0064376442531,76.7886793,ok
Singer1,351,3.5248044571797,99.5799921000001,ok
Skater,160,30.6599322381005,5.2185373,ok
Skater2,435,21.4553806136432,20.2746345,ok
Subway,175,90.2348886339052,1.9393829,ok
Suv,945,59.0751494663794,15.996574,ok
Tiger1,349,25.6617807444953,13.5999915,ok
Toy,271,50.2902638976958,5.388717,ok
Trans,124,6.92355107036006,17.9098845,ok
Twinnings,472,37.5596286956964,12.5666844,ok
Vase,271,50.4026399080105,5.3767025,ok
