sequence,len,fps,total_time_sec,status
Basketball,725,2.7941119302378,259.4742151,ok
Biker,142,2.96774823638687,47.8477245,ok
Bird1,408,2.64363723086718,154.3328242,ok
BlurBody,334,1.37820179704822,242.3447718,ok
BlurCar2,585,1.39075785612629,420.6339712,ok
BlurFace,493,1.7788313828532,277.1482473,ok
BlurOwl,631,2.27579014083905,277.2663387,ok
Bolt,350,2.85349082913444,122.6567811,ok
Box,1161,2.34264144008937,495.594409,ok
Car1,1020,2.43051368909678,419.6643716,ok
Car4,659,2.64702772396621,248.9584805,ok
CarDark,393,4.19204433506089,93.7490085,ok
CarScale,252,4.0261563014652,62.5907146,ok
ClifBar,472,3.84892217527392,122.6317339,ok
Couple,140,4.16070290582035,33.6481607,ok
Crowds,347,4.2385036491275,81.8685151,ok
David,471,3.85533427352904,122.1683949,ok
Deer,71,2.99839633094941,23.6793246,ok
Diving,215,4.08806330275136,52.5921406,ok
DragonBaby,113,3.47634087005059,32.505443,ok
Dudek,1145,2.28989664276715,500.0225681,ok
Football,362,0.782779503273077,462.4546229,ok
Freeman4,283,0.947916914797038,298.5493724,ok
Girl,500,0.924117389689412,541.0568025,ok
Human3,1698,3.0268840045464,560.9729337,ok
Human4-2,667,4.07406062191455,163.7187224,ok
Human6,792,4.26665412356549,185.6255457,ok
Human9,305,3.88171975340328,78.5734209,ok
Ironman,166,3.6814211669564,45.091282,ok
Jump,122,3.27217671704704,37.2840499,ok
Jumping,313,4.02170000363444,77.8277842,ok
Liquor,1741,2.55722660286865,680.8156923,ok
Matrix,100,3.9248636659357,25.478592,ok
MotorRolling,164,2.7125310637114,60.4601371,ok
Panda,1000,4.18081395752699,239.1878735,ok
RedTeam,1918,4.19768299082514,456.9187345,ok
Shaking,365,3.35395122317861,108.8268659,ok
Singer2,366,2.27006364539608,161.2289597,ok
Skating1,400,3.9141873450542,102.1923492,ok
Skating2-1,473,2.52110170522059,187.6163897,ok
Skating2-2,473,2.05474352566855,230.1990463,ok
Skiing,81,4.00749425173188,20.2121313,ok
Soccer,392,2.98350337567272,131.3891592,ok
Surfer,376,4.11650165640582,91.3396936,ok
Sylvester,1345,3.58015296119147,375.6822724,ok
Tiger2,365,3.00451489605847,121.4838377,ok
Trellis,569,3.62107604226596,157.135612,ok
Walking,412,4.0182064230819,102.5333088,ok
Walking2,500,3.92087145345385,127.5226709,ok
Woman,597,4.1004253342352,145.5946521,ok
Bird2,99,3.00701956825578,32.922965,ok
BlurCar1,742,2.43738732836267,304.4243282,ok
BlurCar3,357,3.04972158173347,117.0598661,ok
BlurCar4,380,2.05432387672514,184.9757014,ok
Board,698,1.94227124149632,359.3730809,ok
Bolt2,293,3.65595020525946,80.1433235,ok
Boy,602,3.90736906855404,154.0678624,ok
Car2,913,3.15502020406344,289.3800803,ok
Car24,3059,4.17509639476955,732.6776943,ok
Coke,291,3.43393592630992,84.7424082,ok
Coupon,327,3.87506975155179,84.3855778,ok
Crossing,120,4.43282779234969,27.0707561,ok
Dancer,225,3.75856379363971,59.8632915,ok
Dancer2,150,3.64056189704089,41.2024309,ok
David2,537,4.14148509726961,129.6636321,ok
David3,252,3.8303849894873,65.7897315,ok
Dog,127,3.67836682551979,34.5261922,ok
Dog1,1350,3.93198063782056,343.338415,ok
Doll,3872,2.19435579509772,1764.5269781,ok
FaceOcc1,892,0.595973837101592,1496.7099971,ok
FaceOcc2,812,0.750282356129124,1082.2592233,ok
Fish,476,0.85313961074508,557.9391626,ok
FleetFace,707,0.500832968143277,1411.6482839,ok
Football1,74,0.909938898365356,81.3241418,ok
Freeman1,326,0.952947245248575,342.0965868,ok
Freeman3,460,0.989454925218374,464.9024309,ok
Girl2,1500,0.74118726763756,2023.7800425,ok
Gym,767,3.97548302307916,192.9325306,ok
Human2,1128,1.74025043484878,648.1825704,ok
Human5,713,4.31519222668027,165.2301827,ok
Human7,250,3.86890179230915,64.6178201,ok
Human8,128,4.01022190525317,31.9184332,ok
Jogging-1,307,4.04289534080583,75.9356783,ok
Jogging-2,307,3.89036010255314,78.9130034,ok
KiteSurf,84,4.19692893921802,20.0146348,ok
Lemming,1336,2.69843180823304,495.1023761,ok
Man,134,4.07295418391285,32.8999527,ok
Mhyang,1490,3.85656060771003,386.3546179,ok
MountainBike,228,3.30708999801293,68.9427866,ok
Rubik,1997,2.86370806901178,697.3476178,ok
Singer1,351,1.99346305525909,176.0754979,ok
Skater,160,3.55441495169626,45.0144404,ok
Skater2,435,3.35730970077087,129.5680288,ok
Subway,175,4.25721849467469,41.1066522,ok
Suv,945,3.48953864746767,270.809438,ok
Tiger1,349,2.70447837821573,129.0452173,ok
Toy,271,3.52130192890917,76.9601714,ok
Trans,124,2.01133073110716,61.6507261,ok
Twinnings,472,3.84149472221069,122.8688399,ok
Vase,271,3.41406519549541,79.3775117,ok
