sequence_src,sequence_otb,frames,fps,txt_path,classic_mat_path,unified_mat_path
Basketball,Basketball,725,36.271086,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Basketball.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Basketball_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Basketball_ToMP_plus2.mat
Biker,Biker,142,36.257925,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Biker.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Biker_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Biker_ToMP_plus2.mat
Bird1,Bird1,408,38.519142,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Bird1.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Bird1_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Bird1_ToMP_plus2.mat
Bird2,Bird2,99,31.995128,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Bird2.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Bird2_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Bird2_ToMP_plus2.mat
BlurBody,BlurBody,334,32.685509,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurBody.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurBody_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurBody_ToMP_plus2.mat
BlurCar1,BlurCar1,742,34.986111,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurCar1.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurCar1_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurCar1_ToMP_plus2.mat
BlurCar2,BlurCar2,585,35.345090,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurCar2.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurCar2_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurCar2_ToMP_plus2.mat
BlurCar3,BlurCar3,357,35.958007,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurCar3.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurCar3_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurCar3_ToMP_plus2.mat
BlurCar4,BlurCar4,380,35.679307,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurCar4.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurCar4_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurCar4_ToMP_plus2.mat
BlurFace,BlurFace,493,40.483446,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurFace.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurFace_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurFace_ToMP_plus2.mat
BlurOwl,BlurOwl,631,35.582245,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\BlurOwl.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\BlurOwl_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\BlurOwl_ToMP_plus2.mat
Board,Board,698,36.700129,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Board.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Board_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Board_ToMP_plus2.mat
Bolt,Bolt,350,35.558905,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Bolt.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Bolt_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Bolt_ToMP_plus2.mat
Bolt2,Bolt2,293,37.452704,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\txt_results\ToMP_plus2\Bolt2.txt,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\classic_otb\results\OPE\ToMP_plus2\Bolt2_01.mat,E:\Programming\C\C2P\Project\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run810\unified_otb\results\OPE_OTB\Bolt2_ToMP_plus2.mat
