691,163,329,167
695,160,326,168
696,158,326,169
700,155,323,173
702,152,326,170
704,149,327,173
703,146,329,174
705,150,323,162
702,148,329,170
691,154,338,171
683,157,331,175
671,164,330,173
652,173,350,170
647,182,344,166
633,188,345,163
616,196,347,163
599,199,353,166
583,207,351,165
573,212,362,163
558,216,356,160
543,220,370,162
531,219,374,158
517,220,372,154
501,216,376,158
491,214,382,156
489,212,378,160
482,207,386,159
482,203,387,161
473,198,390,163
484,193,403,165
503,184,402,168
515,180,397,170
519,177,399,167
515,171,405,166
522,170,415,164
525,163,409,167
533,160,412,168
536,160,408,168
553,166,419,167
546,166,420,170
543,169,415,174
542,172,421,170
536,170,417,179
538,170,418,183
550,179,419,180
553,183,405,177
551,184,408,178
571,191,412,175
589,194,412,179
555,197,427,177
583,201,432,176
590,211,414,169
582,201,423,179
573,199,415,181
587,204,411,179
603,196,388,181
614,192,397,189
625,196,402,185
628,188,392,189
630,186,395,194
630,178,387,198
632,182,400,195
648,188,398,190
645,184,419,193
646,184,425,192
650,176,417,195
665,179,416,195
662,175,401,191
665,175,406,191
662,167,408,197
653,162,432,200
641,157,413,206
623,148,422,205
600,140,418,212
576,139,430,203
589,144,427,206
582,148,443,210
572,148,424,204
568,145,427,209
588,147,422,207
596,162,413,201
599,156,420,204
611,157,423,207
619,165,414,201
649,176,419,199
621,164,401,200
622,164,405,201
626,163,396,202
621,148,390,206
604,144,404,210
615,145,398,203
606,141,396,197
611,140,392,193
607,136,402,193
615,137,407,189
618,127,408,196
619,139,416,191
626,143,411,188
621,138,415,190
639,150,407,190
630,134,409,194
657,161,415,198
666,175,404,200
667,179,400,198
652,177,405,202
651,185,407,203
647,188,413,206
640,189,406,204
638,192,401,210
613,176,406,211
608,180,416,217
603,180,403,207
597,175,401,208
598,184,397,208
573,162,410,214
578,160,399,214
563,159,398,216
579,182,412,220
566,174,411,223
580,181,402,216
547,176,419,223
553,184,420,219
533,175,424,217
530,172,422,215
525,175,425,216
511,173,437,213
519,178,442,215
504,170,446,218
506,171,437,214
503,179,428,203
500,174,422,205
496,180,425,202
491,176,430,204
487,178,433,199
456,171,432,200
466,181,437,197
456,183,444,198
445,183,428,193
447,187,435,197
442,185,432,197
454,189,427,202
442,186,425,200
445,194,422,198
449,195,409,195
449,197,402,196
445,198,408,193
438,192,413,194
448,198,406,196
424,197,403,194
438,205,408,196
433,205,409,198
418,199,403,199
402,201,403,196
396,199,412,201
399,201,403,198
388,199,390,194
382,200,403,196
374,202,398,197
376,210,405,195
368,206,406,196
359,206,415,196
361,212,404,194
359,213,407,192
355,209,414,190
356,213,406,190
356,214,398,186
364,218,409,189
353,210,404,188
353,214,404,188
349,209,414,191
359,213,400,190
343,206,395,188
348,209,397,186
351,205,394,189
344,206,405,190
348,208,401,192
334,202,415,189
333,201,415,189
342,199,413,192
339,197,417,188
347,202,413,187
346,201,419,186
331,193,407,185
345,196,406,181
326,186,397,177
339,191,401,177
339,192,393,180
345,191,386,178
344,184,373,176
336,182,375,176
329,180,368,179
337,177,373,179
334,179,374,179
330,173,373,181
330,169,365,179
333,170,375,182
323,172,378,187
313,168,370,182
317,170,385,185
315,173,376,184
314,179,377,184
302,175,389,186
