sequence_index,sequence,AUC,Precision,Norm_Precision,Success50,Success75,FPS,frames,total_time_sec
1,airplane-1,12.568952275020811,45.51649987697601,71.05451822280884,9.146341681480408,2.2955523803830147,15.880750555485928,2788,175.558453
2,airplane-9,14.152573916318072,3.9894618093967438,4.29055318236351,2.8854597359895706,1.480366289615631,19.607659756021476,7971,406.524802
3,airplane-13,26.921559022236313,40.25580585002899,8.88589695096016,5.822955071926117,2.1878154948353767,17.85202886505423,2971,166.423661
4,airplane-15,17.840068398665824,72.79999852180481,14.33333307504654,2.4222223088145256,0.6666666828095913,20.588282351126395,4500,218.57092899999998
5,basketball-1,9.9230025630514,20.128676295280457,11.94852963089943,12.316176295280457,2.1139705553650856,20.863706037745587,1088,52.147974000000005
6,basketball-6,11.89740104671165,14.269788563251495,14.046822488307953,14.269788563251495,9.476031363010406,18.017559829446622,1794,99.569532
7,basketball-7,61.60060194310467,88.6720597743988,85.48310399055481,78.62922549247742,15.801998972892761,21.24557239389356,2101,98.891193
8,basketball-11,6.117136841256729,10.642895847558975,7.779578864574432,5.942733585834503,2.052944339811802,18.28625053562117,1851,101.223594
9,bear-2,58.00146053899199,3.323529288172722,73.7500011920929,69.9117660522461,15.338234603404999,21.177486169606645,6800,321.09571200000005
10,bear-4,12.00348653709955,5.167173221707344,9.625126421451569,4.2553190141916275,0.45592705719172955,21.261195826373406,1974,92.845201
11,bear-6,61.77915158674229,67.74386763572693,72.65110611915588,71.03530764579773,33.81208777427673,19.125541773033177,1671,87.370074
12,bear-17,47.604340445530816,80.56361079216003,81.18524551391602,30.128470063209534,5.304599925875664,20.503050544633417,2413,117.689804
13,bicycle-2,21.859031206055583,26.364052295684814,26.04309916496277,25.9972482919693,8.757450431585312,20.954643601865154,2181,104.081942
14,bicycle-7,38.59641616615971,21.37342542409897,45.55058777332306,31.491264700889587,6.135717034339905,19.907219898095416,2461,123.62349
15,bicycle-9,2.6019401324512006,4.198600351810455,5.131622776389122,0.5331556312739849,0.26657781563699245,19.729360508510233,3001,152.10832599999998
16,bicycle-18,35.86154845374661,23.0996310710907,30.405902862548828,22.066420316696167,4.206642135977745,19.502198538253367,1355,69.479346
17,bird-2,30.311565484766305,51.54840350151062,52.865153551101685,9.875640273094177,5.584003776311874,21.21783765658632,4101,193.28077000000002
18,bird-3,22.011859187617627,10.385114699602127,20.250973105430603,9.562959522008896,3.0289918184280396,18.94869227908352,2311,121.96092300000001
19,bird-15,21.56751559473818,86.8571400642395,67.61904954910278,4.507936537265778,2.9206348583102226,20.834442023283856,1575,75.595977
20,bird-17,34.24393322816779,2.879999950528145,30.880001187324524,31.97999894618988,3.840000182390213,21.090198061340065,5000,237.076958
21,microphone-2,24.549062124109994,43.34080219268799,10.45556366443634,23.823748528957367,2.389843203127384,18.352557481196875,4017,218.879576
22,microphone-6,40.156243957490695,41.19977355003357,41.19977355003357,41.19977355003357,41.19977355003357,20.99528087396451,1767,84.16176999999999
23,microphone-14,32.335023743860994,100.0,37.689563632011414,7.8947365283966064,0.2676181960850954,18.323915832255583,2242,122.35376000000001
24,microphone-16,29.526408847691886,26.492193341255188,26.40036642551422,24.56382066011429,6.657484173774719,17.990844890220906,2178,121.06157400000001
25,monkey-3,21.705188572683312,29.50039505958557,29.738304018974304,28.628072142601013,10.388580709695816,21.257146640900512,1261,59.321225999999996
26,monkey-4,16.98715332486264,11.70731708407402,13.031359016895294,11.777003854513168,6.96864128112793,20.364627592693825,1435,70.46531999999999
27,monkey-9,0.9240367243858278,1.6180437058210373,1.225790660828352,0.24515811819583178,0.04903162480331957,20.531712563936793,4079,198.66827899999998
28,monkey-17,1.1960462785113475,0.5309734493494034,0.9292035363614559,1.0176991112530231,0.13274336233735085,19.251243334310235,2260,117.395015
29,shark-2,5.473757392698529,1.273516658693552,1.5918958932161331,2.518089674413204,0.2604920417070389,20.074796425440493,3455,172.106353
30,shark-3,35.69010619434085,16.099999845027924,28.600001335144043,20.600000023841858,1.0999999940395355,17.816408819877783,1000,56.128034
31,shark-5,34.335607719465564,30.463576316833496,32.384106516838074,19.205297529697418,1.1920529417693615,19.297732756664253,1510,78.247534
32,shark-6,8.933296469603306,2.342487871646881,7.9967692494392395,1.2116316705942154,0.4038772080093622,17.695174378725355,1238,69.96257700000001
33,squirrel-8,20.694348120619598,1.0566762648522854,5.955811589956284,9.029778838157654,1.9212296232581139,21.96105374831835,1041,47.402097000000005
34,squirrel-11,15.738056525719612,8.212560415267944,15.113872289657593,16.90821200609207,6.832297891378403,21.381724834672713,1449,67.768153
35,squirrel-13,17.44842563261905,2.449999935925007,3.2499998807907104,4.30000014603138,0.9499999694526196,18.89143242085479,2000,105.868097
36,squirrel-19,32.34604359853027,17.012448608875275,20.74688822031021,14.107884466648102,1.9917013123631477,20.82036020432635,1205,57.87604
37,volleyball-1,19.82939361572357,33.0022931098938,26.661574840545654,23.14744144678116,4.660045728087425,20.83170942015629,1309,62.836898
38,volleyball-13,0.5863211051272784,0.7835455238819122,0.5876591429114342,0.5876591429114342,0.3428011666983366,18.638845971014003,2042,109.556139
39,volleyball-18,8.083853430319742,9.171143174171448,8.90253260731697,9.094397723674774,6.792018562555313,19.004618866233738,2606,137.12456
40,volleyball-19,1.2165112423572844,1.4314928092062473,1.0906612500548363,1.158827543258667,0.6816632580012083,18.37138786205034,1467,79.852432
