sequence,frames,valid_frames,auc,precision,success50,fps,total_time_sec
airplane-1,2788,2788,73.16731570677051,75.9325681492109,90.2439024390244,42.572169171723274,65.4887936002051
airplane-9,7971,7971,86.14680598120569,99.76163593024715,99.63618115669301,45.817815949886345,173.97162729708361
airplane-13,2971,2971,79.7262425670369,99.69707169303264,99.7980477953551,46.061596379002545,64.50058690007427
airplane-15,4500,4495,80.18645055352506,99.08787541713015,98.02002224694104,46.109848986550475,97.59303270137752
basketball-1,1088,1088,80.22146358543417,99.44852941176471,97.88602941176471,45.82338001477811,23.74333800014574
basketball-6,1794,1794,80.43212825821522,95.70791527313266,94.81605351170569,47.832649334013205,37.50576279964298
basketball-7,2101,2101,89.05283198476914,98.286530223703,98.286530223703,43.656382397498874,48.125838299427414
basketball-11,1851,1851,70.116539322374,81.30740140464614,79.03835764451648,47.03620154860745,39.35266749988659
bear-2,6800,6800,91.6281512605042,84.22058823529412,100.0,22.37255417595166,303.9438388000126
bear-4,1974,1974,64.21575722487577,44.27558257345491,68.38905775075987,40.89077813430396,48.27494339962141
bear-6,1671,1671,85.45211022769372,96.11011370436864,98.3243566726511,42.842325060586205,39.003485399938654
bear-17,2413,2413,88.83823732559746,99.6270203066722,99.70990468296726,44.586731406663674,54.11923960049171
bicycle-2,2181,2181,79.76681731839916,93.8101788170564,93.85602934433746,46.857287225435485,46.54558829893358
bicycle-7,2461,2461,84.6152357733016,72.81592848435595,100.0,36.66979456529551,67.11245670105563
bicycle-9,3001,3001,75.45580044746988,90.26991002999,90.43652115961346,45.49467878741256,65.96375839959364
bicycle-18,1355,1355,79.75751186083289,90.11070110701107,92.10332103321034,43.55360434362738,31.111087599303573
bird-2,4101,4101,21.30955283844823,20.2145818093148,20.190197512801756,47.27999312080499,86.73859130058554
bird-3,2311,2311,86.85170303517337,93.46603202077023,98.35569017741238,41.84735081340917,55.22452329908265
bird-15,1575,1575,18.5124716553288,16.761904761904763,16.6984126984127,47.943996736050984,32.85082820005482
bird-17,5000,5000,85.64285714285712,72.0,97.61999999999999,30.22910274210699,165.40352000045823
microphone-2,4017,3627,58.23913243268082,77.9707747449683,74.02812241521919,47.17262958944348,85.15531220033881
microphone-6,1767,1624,42.44370161857846,44.889162561576356,44.827586206896555,45.258726427431384,39.04219449995435
microphone-14,2242,2242,13.436132704642967,98.52809991079393,3.746654772524532,45.425194427608425,49.3558702004666
microphone-16,2178,1568,84.83661321671525,96.04591836734694,96.74744897959184,46.12331123094464,47.22124110072036
monkey-3,1261,1243,29.280159368654946,28.720836685438456,28.881737731295253,47.70584267257339,26.432820999616524
monkey-4,1435,1272,56.68987720874513,66.27358490566037,65.56603773584906,46.474955886305075,30.876844800252
monkey-9,4079,3525,56.03647416413374,60.31205673758865,63.88652482269504,47.57412570170187,85.73988359924988
monkey-17,2260,2260,68.15634218289085,56.90265486725664,69.51327433628319,39.874161310833486,56.678308099886635
shark-2,3455,3441,35.63194530936467,37.954083115373436,39.14559721011334,45.505768569805156,75.92444010038162
shark-3,1000,992,73.83352534562214,87.29838709677419,96.7741935483871,40.61400166559468,24.62205049957265
shark-5,1510,1510,73.67707347839799,89.80132450331125,94.30463576158941,45.56911144095098,33.136481099849334
shark-6,1238,1238,72.36325871220862,79.32148626817448,88.44911147011308,44.246042362733775,27.979903600207763
squirrel-8,1041,1041,58.92228168885231,32.27665706051873,59.36599423631124,34.72389849188,29.979352699796436
squirrel-11,1449,1444,23.466561139691336,19.182825484764543,22.85318559556787,44.045721940514305,32.89763309946284
squirrel-13,2000,1927,37.502162255665105,24.701608718214842,28.230409963674102,43.98869071971631,45.466231599013554
squirrel-19,1205,1205,85.09780675755779,97.34439834024896,100.0,42.78752980369232,28.162410999852
volleyball-1,1309,1293,79.01152727138806,99.45862335653518,98.45320959010054,47.774731302140786,27.399421500071185
volleyball-13,2042,2004,64.17878528656973,75.89820359281437,75.0499001996008,47.14495519365987,43.31322389876004
volleyball-18,2606,2376,46.74923841590508,56.986531986531986,54.92424242424242,45.79598072288468,56.90455710008973
volleyball-19,1467,1197,25.571866173369926,29.239766081871345,28.07017543859649,47.14475776723991,31.116927299590316
