sequence,frames,fps,total_time_sec
Basketball,725,70.9937462735111,10.212167099998624
Biker,142,84.84916060001947,1.6735580999957165
Bird1,408,158.21668084683787,2.578741999997874
BlurBody,334,36.034716881976586,9.268839299998945
BlurCar2,585,34.64501245603458,16.885547400001087
BlurFace,493,45.517737302023946,10.830942599997798
BlurOwl,631,50.66348246275619,12.45473010000569
Bolt,350,71.06895814916233,4.92479430000094
Box,1161,49.13395147116549,23.629282100002456
Car1,1020,76.65259845996604,13.30678959999932
Car4,659,75.42964565926425,8.73661799999536
CarDark,393,79.85276856255784,4.921557599998778
CarScale,252,85.6615222955705,2.9418109000034747
ClifBar,472,113.7917862966035,4.147926800003916
Couple,140,91.25206237820974,1.5342118999978993
Crowds,347,91.12094172728742,3.8081257000012556
David,471,66.40721513409417,7.092602799995802
Deer,71,56.64305794663609,1.25346339999669
Diving,215,73.0985652213718,2.941234199999599
DragonBaby,113,118.2416648256203,0.955669900002249
Dudek,1145,46.986574712721875,24.368662900000345
Football,362,100.66517153853455,3.5960799000022234
Freeman4,283,104.73904581331942,2.7019531999976607
Girl,500,93.40607649122963,5.3529707999987295
Human3,1698,65.71449053164977,25.83904989999428
Human4-2,667,63.78142390986301,10.457590300000447
Human6,792,94.44207888761773,8.38609240000369
Human9,305,55.07241896698297,5.538162400000147
Ironman,166,85.09477815373609,1.9507660000017495
Jump,122,56.942720151072365,2.142503899995063
Jumping,313,143.7995847269038,2.1766405000016675
Liquor,1741,49.57030249498325,35.121835300000384
Matrix,100,110.28719226045551,0.9067235999973491
MotorRolling,164,52.80244977602458,3.1059165000042412
Panda,1000,93.90881947586576,10.648627100003068
RedTeam,1918,86.24296627457522,22.239494800000102
Shaking,365,65.64010930793197,5.5606244999944465
Singer2,366,64.03115819141327,5.715967199997976
Skating1,400,83.22926900395814,4.806001600001764
Skating2-1,473,51.29421485409153,9.221312800000305
Skating2-2,473,45.426616336157586,10.412397799998871
Skiing,81,80.12707164328579,1.0108943000013824
Soccer,392,61.56732569253442,6.367013600000064
Surfer,376,113.27087950592927,3.3194762999992236
Sylvester,1345,83.64653154930478,16.079566899999918
Tiger2,365,57.13749538713286,6.3880993999991915
Trellis,569,66.90873754032023,8.504120999998122
Walking,412,67.64617229551816,6.090514600000461
Walking2,500,67.24769301071407,7.435199300001841
Woman,597,67.4287264807314,8.853793200003565
Bird2,99,61.16797845201519,1.61849390000134
BlurCar1,742,53.41759471758416,13.890554300000076
BlurCar3,357,56.435688829389555,6.325784399996337
BlurCar4,380,49.16730828929251,7.728712699994503
Board,698,41.944175259242634,16.641166400004295
Bolt2,293,67.71775719528529,4.326782399999502
Boy,602,82.01658342614823,7.33997900000395
Car2,913,85.90183181939777,10.628411300000153
Car24,3059,111.69908420078873,27.38607950000005
Coke,291,60.22764310570673,4.831668399994669
Coupon,327,85.00399544765035,3.846878000003926
Crossing,120,116.14689640011598,1.0331743999995524
Dancer,225,80.46103817275075,2.7963844999976573
Dancer2,150,73.60745731858974,2.037837000003492
David2,537,164.00177024179598,3.274354900000617
David3,252,59.78347705685957,4.215211499998986
Dog,127,71.21366876281742,1.7833654999994906
Dog1,1350,109.91248784002134,12.282498799999303
Doll,3872,73.63717664148399,52.58213550000073
FaceOcc1,892,47.60095534262691,18.739119700003357
FaceOcc2,812,81.60702893000487,9.950123299997358
Fish,476,80.55417208841249,5.909067000000505
FleetFace,707,54.937267817676265,12.869223900001089
Football1,74,102.41817618163154,0.7225279999984195
Freeman1,326,237.92510044880854,1.370179099998495
Freeman3,460,180.59373488106473,2.5471537000048556
Girl2,1500,65.81907494714221,22.78974599999492
Gym,767,67.24629465685474,11.405832899996312
Human2,1128,43.881434573422155,25.7056317999959
Human5,713,85.86172221318834,8.304049600003054
Human7,250,71.72885299996959,3.4853478000004543
Human8,128,72.88003922755162,1.7563108000031207
Jogging-1,307,71.91829350952547,4.268733100005193
Jogging-2,307,67.77369141420085,4.52978129999974
KiteSurf,84,97.66654849739493,0.8600693000043975
Lemming,1336,64.82262032304284,20.610089399997378
Man,134,109.6609675699476,1.2219479999985197
Mhyang,1490,91.20934048289854,16.336046199998236
MountainBike,228,67.35285240660738,3.385157299999264
Rubik,1997,54.8520366038027,36.407034699994256
Singer1,351,55.747274827833486,6.296271899998828
Skater,160,75.08634930180344,2.130879999996978
Skater2,435,69.00199558524318,6.304165500005183
Subway,175,98.74545869640497,1.7722333999990951
Suv,945,85.30794982795827,11.077513900003396
Tiger1,349,56.521271229831406,6.17466649999551
Toy,271,128.51096338395163,2.1087695000023814
Trans,124,41.11658724374603,3.015814499995031
Twinnings,472,81.19109818045497,5.813445200001297
Vase,271,83.59445031551253,3.241842000003089
