sequence,frames,fps,total_time_sec
Basketball,725,446.4154593491021,1.6240476999992097
Biker,142,487.8908581264772,0.29104870000082883
Bird1,408,618.5490113679963,0.6596081999996386
BlurBody,334,157.3343602460731,2.1228675000020303
BlurCar2,585,238.68529690433215,2.4509259999977075
BlurFace,493,235.1350641086157,2.096667300000263
BlurOwl,631,267.4666306767398,2.3591727999992145
Bolt,350,307.88350673365414,1.1367935999987822
Box,1161,346.1586453119801,3.3539535000018077
Car1,1020,676.4157182028919,1.5079484000016237
Car4,659,566.059680041251,1.1641882000003534
CarDark,393,928.1255335813587,0.42343410000103177
CarScale,252,607.5851215905642,0.4147566999999981
ClifBar,472,964.225202154183,0.48951219999798923
Couple,140,1022.482939126156,0.13692160000209697
Crowds,347,513.5973035985008,0.6756266000011237
David,471,489.89740029852544,0.9614258000001428
Deer,71,293.68466291986175,0.24175589999867952
Diving,215,532.8451975645728,0.4034943000006024
DragonBaby,113,435.21397121528804,0.2596424000003026
Dudek,1145,189.73209033460245,6.034825200000341
Football,362,638.1784061228276,0.5672395000001416
Freeman4,283,2202.310636327653,0.1285013999986404
Girl,500,1593.0476850055522,0.31386380000185454
Human3,1698,381.76349508648923,4.447779900001478
Human4-2,667,393.82331527285083,1.6936529000013252
Human6,792,531.3580054754298,1.4905204999995476
Human9,305,564.9192202583546,0.5399001999976463
Ironman,166,480.4802023337422,0.3454877000003762
Jump,122,446.21532596209585,0.27341059999889694
Jumping,313,1255.7048315319937,0.24926240000058897
Liquor,1741,221.24117033613143,7.869240599997283
Matrix,100,524.5978695037387,0.1906221999997797
MotorRolling,164,381.4412104901491,0.42994829999952344
Panda,1000,1328.2101610999277,0.7528929000000062
RedTeam,1918,943.4052749545781,2.0330604999981006
Shaking,365,356.27646389837423,1.0244853000003786
Singer2,366,439.25984475990447,0.8332198000025528
Skating1,400,441.1655063291493,0.906689199997345
Skating2-1,473,341.1059578235586,1.3866658999977517
Skating2-2,473,134.97639653764446,3.5043164000016986
Skiing,81,745.8790184238485,0.10859669999990729
Soccer,392,296.4020645613958,1.3225278999998409
Surfer,376,973.9807265795698,0.3860445999998774
Sylvester,1345,524.2174223133354,2.5657293000003847
Tiger2,365,315.1132547249471,1.1583137000015995
Trellis,569,624.677300380779,0.9108702999983507
Walking,412,302.1403047169609,1.3636049000015191
Walking2,500,374.7145331014438,1.3343490999977803
Woman,597,789.7739487036446,0.7559125000007043
Bird2,99,340.5278732386898,0.29072509999969043
BlurCar1,742,281.2993268986503,2.6377595999983896
BlurCar3,357,253.32161762246898,1.4092756999998528
BlurCar4,380,142.7290891085799,2.6623865000001388
Board,698,114.0232098000521,6.121560700001282
Bolt2,293,739.4133297761753,0.39626010000210954
Boy,602,385.67144726229753,1.5609141000022646
Car2,913,426.47018707123107,2.1408296000008704
Car24,3059,938.9152885707332,3.2580148999986704
Coke,291,349.91812998022476,0.8316230999989784
Coupon,327,299.8231868394512,1.0906428000016604
Crossing,120,1315.6307901075763,0.0912110000026587
Dancer,225,422.0022600568358,0.5331724999996368
Dancer2,150,334.2692128495381,0.44874009999693953
David2,537,1506.2137628698433,0.35652309999932186
David3,252,287.8988241267853,0.8753075000022363
Dog,127,821.0844132906554,0.15467350000108127
Dog1,1350,758.0181049532692,1.7809601000008115
Doll,3872,524.8607932808501,7.377194200002123
FaceOcc1,892,264.16891600173886,3.3766274000008707
FaceOcc2,812,504.06285837629184,1.6109102000009443
Fish,476,580.4817876895305,0.8200084999989485
FleetFace,707,220.08020507103092,3.2124652000020433
Football1,74,949.9675213975266,0.07789739999861922
Freeman1,326,1772.3584926787032,0.18393569999898318
Freeman3,460,2306.0568583502995,0.19947469999897294
Girl2,1500,349.12395373668005,4.2964682999991055
Gym,767,635.2256736522546,1.2074448999992455
Human2,1128,108.96768918675022,10.351692399999592
Human5,713,531.4325588240438,1.3416565999978047
Human7,250,394.4162024918875,0.6338481999991927
Human8,128,813.6680984173388,0.15731230000164942
Jogging-1,307,665.3195571016573,0.4614323999994667
Jogging-2,307,334.8208321371831,0.9169083000015235
KiteSurf,84,1116.7955412929575,0.0752152000022761
Lemming,1336,275.3759221435968,4.851549799997883
Man,134,1332.1814272030394,0.10058690000005299
Mhyang,1490,301.37453283642986,4.944014300002891
MountainBike,228,396.05233101829754,0.575681500002247
Rubik,1997,217.5356216214963,9.180105699997512
Singer1,351,122.99913522144652,2.8536786000004213
Skater,160,483.04599141334404,0.331231399999524
Skater2,435,625.573622248983,0.6953618000006827
Subway,175,831.2480881382759,0.21052679999775137
Suv,945,555.8123205893381,1.7002141999982996
Tiger1,349,281.8915683487767,1.2380646999990859
Toy,271,842.8050417748932,0.3215453000011621
Trans,124,121.63306912798271,1.0194596000001184
Twinnings,472,388.46611192861076,1.2150351999989653
Vase,271,810.8822189046554,0.3342039000017394
