sequence,frames,fps,total_time_sec
Basketball,725,87.3743935970143,8.297625541687012
BlurBody,334,68.46574519662518,4.878351926803589
Bolt,350,80.5998358581616,4.342440605163574
CarScale,252,82.95351135841905,3.037846088409424
David,471,79.27733027575509,5.941168785095215
Deer,71,43.66849926533772,1.6258859634399414
Diving,215,81.49495730525376,2.638200044631958
DragonBaby,113,56.23741684638984,2.00933837890625
Dudek,1145,79.9783117479725,14.316381216049194
FaceOcc1,892,84.00598252995273,10.61829137802124
FleetFace,707,75.53056036805985,9.36044955253601
Human2,1128,79.16002443078166,14.249616622924805
Ironman,166,72.67780520176639,2.2840535640716553
Jump,122,56.248215178446976,2.1689577102661133
Lemming,1336,79.5811959625069,16.787885427474976
Singer1,351,73.30633438726699,4.788126468658447
Skiing,81,60.8823958235518,1.3304338455200195
Soccer,392,72.25286070704453,5.425390720367432
Surfer,376,89.12258157268585,4.218908309936523
Tiger1,349,71.2142907286989,4.9007017612457275
Walking2,500,83.01829638930629,6.02276873588562
Woman,597,95.21475734738476,6.270036458969116
