sequence,len,fps,total_time_sec,status
Basketball,725,13.4864345628336,53.757722,ok
Biker,142,9.89158164753557,14.3556415,ok
Bird1,408,2.89564901935894,140.9010544,ok
BlurBody,334,1.50576429745606,221.8142644,ok
BlurCar2,585,3.53587394071948,165.4470747,ok
BlurFace,493,1.92527716956951,256.0670265,ok
BlurOwl,631,2.24755691969778,280.7492858,ok
Bolt,350,47.1610719037914,7.421375,ok
Box,1161,2.500491351935,464.3087444,ok
Car1,1020,26.846369809002,37.9939637,ok
Car4,659,23.1582763148047,28.4563493,ok
CarDark,393,52.0408459992984,7.55176039999999,ok
CarScale,252,45.9458268435613,5.4847201,ok
ClifBar,472,44.9100948901779,10.5098865,ok
Couple,140,56.8140406648931,2.4641796,ok
Crowds,347,69.9385717632631,4.9614968,ok
David,471,24.0524404481874,19.5822125,ok
Deer,71,15.5217211183947,4.574235,ok
Diving,215,50.3385760921311,4.2710783,ok
DragonBaby,113,26.8404885206437,4.2100575,ok
Dudek,1145,16.9686474347149,67.4773875999999,ok
Football,362,34.8355342735034,10.3916879,ok
Freeman4,283,70.9123449497193,3.9908425,ok
Girl,500,36.3820033218951,13.7430585,ok
Human3,1698,28.8253211562207,58.9065423,ok
Human4-2,667,60.0707678676042,11.1035704,ok
Human6,792,66.6905618725308,11.8757434,ok
Human9,305,45.8605679950133,6.6505936,ok
Ironman,166,39.4939333035971,4.2031772,ok
Jump,122,24.7462304493116,4.9300438,ok
Jumping,313,31.6394524078093,9.89271230000001,ok
Liquor,1741,41.3978157727718,42.0553589,ok
Matrix,100,47.2888006500886,2.1146656,ok
MotorRolling,164,26.3034616253666,6.23492079999999,ok
Panda,1000,48.7212764810735,20.5249138,ok
RedTeam,1918,64.3748912268237,29.7942251,ok
Shaking,365,21.9995600208542,16.5912409,ok
Singer2,366,19.5713390146007,18.7008155,ok
Skating1,400,53.449297642155,7.48372790000001,ok
Skating2-1,473,48.3283716886228,9.7872116,ok
Skating2-2,473,30.1908331286144,15.6670072,ok
Skiing,81,51.1351530503539,1.5840375,ok
Soccer,392,22.6333357233058,17.3195858,ok
Surfer,376,69.3079100122317,5.42506620000001,ok
Sylvester,1345,26.3604255497749,51.0234555,ok
Tiger2,365,22.8043678199081,16.0057057,ok
Trellis,569,13.3745053730653,42.5436294,ok
Walking,412,57.4611472687084,7.17006220000001,ok
Walking2,500,41.3790847860095,12.0833992,ok
Woman,597,51.5157455373796,11.5886899,ok
Bird2,99,20.7570111312932,4.7694728,ok
BlurCar1,742,21.1845165999802,35.0255809,ok
BlurCar3,357,15.3867097143992,23.2018415,ok
BlurCar4,380,13.226467283195,28.7302718,ok
Board,698,15.90197823776,43.8939099,ok
Bolt2,293,32.638063128564,8.9772484,ok
Boy,602,30.4572225602395,19.7654267,ok
Car2,913,20.0386677809922,45.5619111,ok
Car24,3059,57.8543041083069,52.8741992,ok
Coke,291,32.2193113384606,9.0318504,ok
Coupon,327,15.79879184368,20.6977852,ok
Crossing,120,70.9299633404395,1.6918097,ok
Dancer,225,32.8630101042071,6.8466035,ok
Dancer2,150,26.9886593653347,5.55789,ok
David2,537,55.7411668363849,9.6338134,ok
David3,252,37.8585912809171,6.6563491,ok
Dog,127,37.9029701274754,3.3506609,ok
Dog1,1350,27.821827172244,48.5230532,ok
Doll,3872,41.5722333041249,93.1390904999999,ok
FaceOcc1,892,15.6758513436241,56.9028106,ok
FaceOcc2,812,23.4665174180746,34.6024928,ok
Fish,476,15.6208641423976,30.4720658,ok
FleetFace,707,24.2545309865321,29.1491928,ok
Football1,74,63.9624329615358,1.1569291,ok
Freeman1,326,62.0471049058762,5.2540727,ok
Freeman3,460,92.5148767441392,4.9721733,ok
Girl2,1500,26.5516568316173,56.4936497,ok
Gym,767,51.1310580012522,15.0006675,ok
Human2,1128,27.7467460132753,40.6534157,ok
Human5,713,69.2251156098266,10.29973,ok
Human7,250,41.5069610245153,6.0230861,ok
Human8,128,58.5129910725632,2.1875484,ok
Jogging-1,307,45.8255936716856,6.6993131,ok
Jogging-2,307,36.3044848869573,8.4562555,ok
KiteSurf,84,50.3826441867306,1.6672408,ok
Lemming,1336,16.7731402845994,79.6511551999999,ok
Man,134,26.5818275240502,5.0410379,ok
Mhyang,1490,17.3384132122311,85.9363531,ok
MountainBike,228,29.3655612984261,7.7641969,ok
Rubik,1997,22.0524955272029,90.5566445999999,ok
Singer1,351,34.1318673317071,10.2836448,ok
Skater,160,37.1559843521287,4.3061704,ok
Skater2,435,31.3719403884091,13.865894,ok
Subway,175,82.5244288814375,2.1205842,ok
Suv,945,20.7299237357294,45.5862747999999,ok
Tiger1,349,20.5995956777468,16.9420801,ok
Toy,271,35.8290794784968,7.56368859999999,ok
Trans,124,15.2116323254253,8.1516564,ok
Twinnings,472,27.1604416545607,17.3782152,ok
Vase,271,36.9687264899873,7.33052030000001,ok
