sequence_src,sequence_otb,frames,fps,txt_path,classic_mat_path,unified_mat_path
Basketball,Basketball,725,18.864396,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Basketball.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Basketball_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Basketball_ToMP_plus2.mat
Biker,Biker,142,22.901133,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Biker.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Biker_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Biker_ToMP_plus2.mat
Bird1,Bird1,408,19.580752,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Bird1.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Bird1_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Bird1_ToMP_plus2.mat
Bird2,Bird2,99,19.613882,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Bird2.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Bird2_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Bird2_ToMP_plus2.mat
BlurBody,BlurBody,334,19.930220,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurBody.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurBody_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurBody_ToMP_plus2.mat
BlurCar1,BlurCar1,742,19.902915,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurCar1.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurCar1_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurCar1_ToMP_plus2.mat
BlurCar2,BlurCar2,585,21.272006,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurCar2.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurCar2_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurCar2_ToMP_plus2.mat
BlurCar3,BlurCar3,357,27.973232,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurCar3.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurCar3_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurCar3_ToMP_plus2.mat
BlurCar4,BlurCar4,380,28.569283,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurCar4.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurCar4_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurCar4_ToMP_plus2.mat
BlurFace,BlurFace,493,25.861934,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurFace.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurFace_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurFace_ToMP_plus2.mat
BlurOwl,BlurOwl,631,28.480931,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\BlurOwl.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\BlurOwl_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\BlurOwl_ToMP_plus2.mat
Board,Board,698,28.177723,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Board.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Board_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Board_ToMP_plus2.mat
Bolt,Bolt,350,26.958697,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Bolt.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Bolt_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Bolt_ToMP_plus2.mat
Bolt2,Bolt2,293,27.232341,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Bolt2.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Bolt2_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Bolt2_ToMP_plus2.mat
Box,Box,1161,27.340698,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Box.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Box_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Box_ToMP_plus2.mat
Boy,Boy,602,27.064188,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Boy.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Boy_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Boy_ToMP_plus2.mat
Car1,Car1,1020,28.294886,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Car1.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Car1_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Car1_ToMP_plus2.mat
Car2,Car2,913,29.230908,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Car2.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Car2_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Car2_ToMP_plus2.mat
Car24,Car24,3059,27.339113,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Car24.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Car24_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Car24_ToMP_plus2.mat
Car4,Car4,659,28.880329,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Car4.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Car4_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Car4_ToMP_plus2.mat
CarDark,CarDark,393,27.000031,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\CarDark.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\CarDark_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\CarDark_ToMP_plus2.mat
CarScale,CarScale,252,28.678797,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\CarScale.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\CarScale_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\CarScale_ToMP_plus2.mat
ClifBar,ClifBar,472,28.962248,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\ClifBar.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\ClifBar_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\ClifBar_ToMP_plus2.mat
Coke,Coke,291,27.751728,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Coke.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Coke_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Coke_ToMP_plus2.mat
Couple,Couple,140,28.372335,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Couple.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Couple_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Couple_ToMP_plus2.mat
Coupon,Coupon,327,26.085488,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Coupon.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Coupon_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Coupon_ToMP_plus2.mat
Crossing,Crossing,120,25.981419,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Crossing.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Crossing_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Crossing_ToMP_plus2.mat
Crowds,Crowds,347,27.936985,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Crowds.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Crowds_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Crowds_ToMP_plus2.mat
Dancer,Dancer,225,26.769896,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Dancer.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Dancer_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Dancer_ToMP_plus2.mat
Dancer2,Dancer2,150,30.231117,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\Dancer2.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\Dancer2_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\Dancer2_ToMP_plus2.mat
David,David,471,27.125594,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\David.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\David_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\David_ToMP_plus2.mat
David2,David2,537,28.032672,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\David2.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\David2_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\David2_ToMP_plus2.mat
David3,David3,252,26.463963,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\txt_results\ToMP_plus2\David3.txt,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\classic_otb\results\OPE\ToMP_plus2\David3_01.mat,E:\Programming\C\C2P\Project\AI\TransTResearch\otb100\otb_matlab_export\ToMP_plus2_run811\unified_otb\results\OPE_OTB\David3_ToMP_plus2.mat
