sequence,frames,fps,total_time_sec
Basketball,725,328.0263496101849,2.2101882999995723
Biker,142,379.5798852612616,0.37409779999870807
Bird1,408,466.8286226356728,0.8739824000003864
BlurBody,334,127.59969088780761,2.6175612000006367
BlurCar2,585,180.48100130513896,3.241338399995584
BlurFace,493,176.4401064755807,2.7941492999962065
BlurOwl,631,192.72850323530488,3.2740357000002405
Bolt,350,229.06414273753475,1.527956300000369
Box,1161,217.61941640549526,5.3350018999990425
Car1,1020,263.47065397971073,3.871398900002532
Car4,659,220.39087106936032,2.990141999995103
CarDark,393,391.40634990560073,1.0040716000003158
CarScale,252,276.21687233424154,0.9123266000024159
ClifBar,472,402.8506806626919,1.171650000003865
Couple,140,452.5098946180564,0.30938549999700626
Crowds,347,213.51126348863423,1.6252069999973173
David,471,200.6686056390264,2.3471534000054817
Deer,71,164.75680271586225,0.43093819999921834
Diving,215,322.11455771958725,0.6674644000013359
DragonBaby,113,246.620588626682,0.45819370000390336
Dudek,1145,140.7193603195697,8.136762399997679
Football,362,452.2969186822247,0.8003592000022763
Freeman4,283,1508.5593418393144,0.18759619999764254
Girl,500,1081.084119806742,0.4624986999988323
Human3,1698,225.37689407664138,7.534046500004479
Human4-2,667,230.12110718406993,2.8984737999999197
Human6,792,325.63471736521427,2.432173099994543
Human9,305,360.5359052984032,0.8459628999989945
Ironman,166,308.75592750980206,0.5376414999991539
Jump,122,304.5616596331117,0.4005756999977166
Jumping,313,839.8184489506708,0.3726996000041254
Liquor,1741,156.1214951285094,11.15157139999792
Matrix,100,332.73551851454005,0.3005390000034822
MotorRolling,164,254.93017866423855,0.6433134000035352
Panda,1000,912.6614064503457,1.0956966000012471
RedTeam,1918,641.6929881792056,2.988968300000124
Shaking,365,242.78609347826688,1.503381000002264
Singer2,366,280.74171654618004,1.3036894000033499
Skating1,400,266.8156565287182,1.4991624000031152
Skating2-1,473,235.03308798845885,2.0124825999955647
Skating2-2,473,98.67988429135639,4.79327679999551
Skiing,81,492.5018119269427,0.1644663999977638
Soccer,392,185.9800372256562,2.1077530999973533
Surfer,376,642.0380199163685,0.5856351000038558
Sylvester,1345,334.33514560362727,4.022909400002391
Tiger2,365,187.41131016455384,1.9475879000019631
Trellis,569,416.81735700736516,1.365106299999752
Walking,412,199.713750087638,2.0629526000047917
Walking2,500,244.41069404322698,2.045737000000372
Woman,597,510.17835732795703,1.170179000000644
Bird2,99,240.62258541987293,0.4114326999988407
BlurCar1,742,195.24793883157264,3.8002962000027765
BlurCar3,357,182.61408533653,1.9549422999989474
BlurCar4,380,104.13771192956816,3.6490142999973614
Board,698,88.2612901395732,7.908336699998472
Bolt2,293,513.8169408762917,0.5702420000015991
Boy,602,259.0726644597438,2.3236724000016693
Car2,913,328.23916692158053,2.7815083999958006
Car24,3059,713.2443435695371,4.2888527999966755
Coke,291,262.7532385901259,1.1075030000065453
Coupon,327,218.6517279170397,1.4955289999998058
Crossing,120,985.4085627114971,0.12177689999953145
Dancer,225,315.0267772745896,0.7142250000033528
Dancer2,150,248.11141724265423,0.604567100002896
David2,537,1227.66737027141,0.43741489999956684
David3,252,217.70924774376317,1.1575071000042954
Dog,127,676.1649203490005,0.18782400000054622
Dog1,1350,573.3072720580717,2.354758200002834
Doll,3872,401.53915183546553,9.642895299999509
FaceOcc1,892,197.25472723621837,4.522071599996707
FaceOcc2,812,381.18117907535117,2.1302206000036676
Fish,476,439.9324056798744,1.081984399999783
FleetFace,707,178.73604341986984,3.9555536000043503
Football1,74,749.3412884915294,0.09875340000144206
Freeman1,326,1357.0757764279294,0.2402224000034039
Freeman3,460,1825.22589155645,0.25202359999821056
Girl2,1500,257.8216514600702,5.817975300000398
Gym,767,456.7325957489323,1.6793195999998716
Human2,1128,82.4489248645604,13.681197199999588
Human5,713,388.15693451537254,1.8368859000038356
Human7,250,293.10990073864025,0.8529223999939859
Human8,128,607.6075311055653,0.21066229999996722
Jogging-1,307,516.3338947976713,0.5945764999996754
Jogging-2,307,253.57474309762387,1.2106883999949787
KiteSurf,84,869.8695816810713,0.09656620000168914
Lemming,1336,205.0289110715435,6.516154199998709
Man,134,1005.0605549171056,0.13332529999752296
Mhyang,1490,229.53994894799507,6.491244799995911
MountainBike,228,296.9027186509328,0.7679283000034047
Rubik,1997,165.66803215721947,12.054226600004768
Singer1,351,97.86437080001619,3.586596400004055
Skater,160,356.42539192138315,0.44890180000220425
Skater2,435,493.2694237605031,0.8818709999977727
Subway,175,630.1971004401453,0.27769090000219876
Suv,945,421.5234983285035,2.2418679000038537
Tiger1,349,212.6500325193017,1.6411941999976989
Toy,271,616.7704669440889,0.4393854999943869
Trans,124,94.78020928075522,1.3082900000008522
Twinnings,472,300.2224635743383,1.5721674999949755
Vase,271,605.7145028353733,0.44740550000278745
