sequence,len,fps,total_time_sec,status
Basketball,725,4.19134082998057,172.9756728,ok
Biker,142,13.5785391838439,10.4576787,ok
Bird1,408,8.37045127546259,48.7428917,ok
BlurBody,334,4.18874648685035,79.7374587,ok
BlurCar2,585,4.07491581856053,143.5612479,ok
BlurFace,493,4.04213814060718,121.9651538,ok
BlurOwl,631,3.63606551775633,173.5392272,ok
Bolt,350,6.67957659606746,52.3985308,ok
Box,1161,4.33101850590676,268.0662755,ok
Car1,1020,4.97261254905575,205.1235623,ok
Car4,659,4.20236172269681,156.8165816,ok
CarDark,393,8.64928894228618,45.4372611,ok
CarScale,252,9.35368522020858,26.941253,ok
ClifBar,472,6.61687869192742,71.3327268,ok
Couple,140,6.80341045441305,20.5779147,ok
Crowds,347,9.17482205670585,37.820897,ok
David,471,4.1279141164173,114.1012111,ok
Deer,71,4.33767616379683,16.3682113,ok
Diving,215,4.3639508633341,49.2672825,ok
DragonBaby,113,4.18394171770668,27.0080244,ok
Dudek,1145,3.88143450822673,294.994027999999,ok
Football,362,5.56947658879055,64.9971311,ok
Freeman4,283,10.7836971502529,26.2433186,ok
Girl,500,7.72407954082855,64.7326322,ok
Human3,1698,3.80767662868595,445.9412302,ok
Human4-2,667,4.92006339077536,135.567359,ok
Human6,792,10.0446264362781,78.8481288999999,ok
Human9,305,4.37786109729397,69.6687248,ok
Ironman,166,4.44408036301197,37.3530599,ok
Jump,122,4.49720640726139,27.1279521,ok
Jumping,313,9.60945537005579,32.5720853,ok
Liquor,1741,2.9402860155436,592.119266900001,ok
Matrix,100,3.25059803933873,30.7635699,ok
MotorRolling,164,4.22195208879857,38.8445905,ok
Panda,1000,6.37647903993569,156.8263604,ok
RedTeam,1918,8.30354076229999,230.985799300001,ok
Shaking,365,4.31319884294057,84.6239678,ok
Singer2,366,4.34343653816801,84.2650737,ok
Skating1,400,4.41790807343233,90.5405892,ok
Skating2-1,473,4.44371642653044,106.4424357,ok
Skating2-2,473,4.30408541831504,109.8955885,ok
Skiing,81,7.81980504646774,10.3583145,ok
Soccer,392,4.14909574453869,94.4784175,ok
Surfer,376,9.52546009688624,39.4731589,ok
Sylvester,1345,1.57961437989387,851.4736363,ok
Tiger2,365,1.59677387700896,228.5859039,ok
Trellis,569,1.63278254630916,348.4848618,ok
Walking,412,2.18684884170603,188.3989383,ok
Walking2,500,2.33970598928852,213.7020644,ok
Woman,597,2.72293613490081,219.2486237,ok
Bird2,99,2.28751508096306,43.2784032,ok
BlurCar1,742,2.52733721548043,293.5896308,ok
BlurCar3,357,3.8566702113283,92.5668985,ok
BlurCar4,380,3.68469279697528,103.1293573,ok
Board,698,3.65343462225746,191.0530972,ok
Bolt2,293,1.78959229119964,163.7244424,ok
Boy,602,2.41230625711062,249.5537199,ok
Car2,913,1.59328849645574,573.028677500001,ok
Car24,3059,3.50370960546122,873.074639299999,ok
Coke,291,2.25569876771711,129.0065873,ok
Coupon,327,2.27578487068532,143.6866921,ok
Crossing,120,6.17620267727887,19.4294142,ok
Dancer,225,2.27891864811823,98.7310364000001,ok
Dancer2,150,2.37432872364957,63.1757509,ok
David2,537,11.2874209770968,47.5750839,ok
David3,252,4.52175565216227,55.7305655999999,ok
Dog,127,4.42709034325615,28.6870134,ok
Dog1,1350,5.93261392485202,227.5556807,ok
Doll,3872,4.6235055169791,837.459798799999,ok
FaceOcc1,892,4.3428276502444,205.3961317,ok
FaceOcc2,812,4.38850310010317,185.0289225,ok
Fish,476,4.5710098076662,104.1345392,ok
FleetFace,707,4.35836900597232,162.2166455,ok
Football1,74,9.98214719952142,7.4132347,ok
Freeman1,326,9.14528997914922,35.6467647,ok
Freeman3,460,16.207854315631,28.3813015,ok
Girl2,1500,4.49284517057365,333.8641647,ok
Gym,767,4.67445379638166,164.0833418,ok
Human2,1128,4.30826027600971,261.8226216,ok
Human5,713,9.37917789016957,76.0194559,ok
Human7,250,4.41353010234613,56.6440002,ok
Human8,128,4.46269506980555,28.6822196,ok
Jogging-1,307,4.48387039794128,68.4676346,ok
Jogging-2,307,4.28688339801156,71.6137976,ok
KiteSurf,84,8.61332068706449,9.7523363,ok
Lemming,1336,4.32207432475688,309.1108342,ok
Man,134,10.2597646065455,13.0607285,ok
Mhyang,1490,4.3043893696868,346.1582752,ok
MountainBike,228,4.38433875813401,52.0032809,ok
Rubik,1997,4.28463356099611,466.0841987,ok
Singer1,351,4.40998634950917,79.5920831000001,ok
Skater,160,4.55200765187934,35.1493258,ok
Skater2,435,4.52205040659938,96.195301,ok
Subway,175,10.4763148749465,16.7043471,ok
Suv,945,4.32509374050273,218.4923742,ok
Tiger1,349,4.28814765240952,81.3871229,ok
Toy,271,4.45391296304629,60.845374,ok
Trans,124,4.01116186010812,30.9137363,ok
Twinnings,472,4.41311070602266,106.9540357,ok
Vase,271,5.03218797256493,53.8533142,ok
